AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,9,SUPERIOR FRONTAL GYRUS,"RTN2, NTRK2, DPP6, UNC13A, KCNK9, FGF9, NRXN3, NSMF, MAPK8IP3",0.6566028867819556,ARCHS4_Tissues
0.5,8,SKELETAL MUSCLE (BULK TISSUE),"RTN2, KBTBD13, CEACAM16, GPD1, MYH8, HFE2, DCHS1, IGF1, TUBA4A",0.7386782476297,ARCHS4_Tissues
0.5,16,VENTRICLE,"KBTBD13, NTRK2, ARHGAP31, FGF9, GPD1, HFE2, DCHS1, MAPK8IP3",0.7953063990809999,ARCHS4_Tissues
0.5,3,PREFRONTAL CORTEX,"NTRK2, CACNB2, DPP6, UNC13A, KCNK9, FGF9, NRXN3, DCHS1, IGF1, SPTAN1",0.814519429669971,ARCHS4_Tissues
0.5,7,LIVER (BULK TISSUE),"SCARB1, SLC46A1, CEACAM16, TGDS, GPD1, HFE2, ANG, IGF1, AFF4",0.8442037115768001,ARCHS4_Tissues
0.5,15,SUBCUTANEOUS ADIPOSE TISSUE,"NTRK2, SCARB1, ARHGAP31, TRPC6, GPD1, ANG, DCHS1, IGF1",0.8483268256863998,ARCHS4_Tissues
0.5,27,SPINAL CORD (BULK),"NTRK2, UNC13A, KCNK9, NRXN3, NSMF, DCHS1, SPTAN1",0.900055047109174,ARCHS4_Tissues
0.5,14,MOTOR NEURON,"RTN2, NTRK2, UNC13A, KCNK9, FGF9, NRXN3, DCHS1, SPTAN1",0.9089215989497141,ARCHS4_Tissues
0.5,26,SPINAL CORD,"NTRK2, UNC13A, KCNK9, NRXN3, NSMF, DCHS1, SPTAN1",0.9346725489210652,ARCHS4_Tissues
0.5,25,RENAL CORTEX,"NTRK2, DPP6, TRPC6, FGF9, GPD1, MYH8, DCHS1",0.9720594508779078,ARCHS4_Tissues
0.5,13,FETAL BRAIN,"NTRK2, ARHGAP31, UNC13A, KCNK9, GPD1, NSMF, DCHS1, MAPK8IP3",0.9788386450227691,ARCHS4_Tissues
0.5,6,DENTATE GRANULE CELL,"NTRK2, CACNB2, DPP6, UNC13A, KCNK9, FGF9, GPD1, MYH8, NRXN3",0.9849043301729333,ARCHS4_Tissues
0.5,1,CINGULATE GYRUS,"NTRK2, DPP6, TRPC6, UNC13A, NRXN3, WISP3, NSMF, MAPK8IP3, SPTAN1, TUBA4A",1.0,ARCHS4_Tissues
0.5,2,HEART (BULK TISSUE),"KBTBD13, NTRK2, CACNB2, ARHGAP31, FGF9, GPD1, MYH8, HFE2, DCHS1, IGF1",1.0,ARCHS4_Tissues
0.5,4,ADRENAL GLAND,"KCNJ5, CACNB2, SCARB1, LMBR1, SLC46A1, CEACAM16, KCNK9, FGF9, DCHS1",1.0,ARCHS4_Tissues
0.5,5,BRAIN (BULK),"RTN2, NTRK2, DPP6, UNC13A, KCNK9, FGF9, NRXN3, NSMF, MAPK8IP3",1.0,ARCHS4_Tissues
0.5,10,ALPHA CELL,"CACNB2, DPP6, CEACAM16, UNC13A, FGF9, GPD1, AFF4, TUBA4A",1.0,ARCHS4_Tissues
