AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,6,nemaline myopathy,KBTBD13,0.5179098636969127,ClinVar_2019
0.5,7,romano-ward syndrome,KCNJ5,0.6084784985634485,ClinVar_2019
0.5,5,brugada syndrome,CACNB2,0.6214918364362954,ClinVar_2019
0.5,4,mitochondrial dna deletion syndromes,TWNK,0.7768647955453691,ClinVar_2019
0.5,8,amyotrophic lateral sclerosis,ANG,0.8176799522459088,ClinVar_2019
0.5,11,autosomal dominant non-syndromic sensorineural deafness type dfna,GJB3,0.8672506392210895,ClinVar_2019
0.5,3,distal arthrogryposis,MYH8,0.9072927007488959,ClinVar_2019
0.5,9,parkinson disease,GIGYF2,0.9356998955890812,ClinVar_2019
0.5,10,hereditary hearing loss and deafness,"GJB3, TWNK",0.9406110529773916,ClinVar_2019
0.5,1,hereditary nephrotic syndrome,TRPC6,1.0,ClinVar_2019
0.5,2,perrault syndrome,TWNK,1.0,ClinVar_2019
0.5,12,"nonsyndromic hearing loss and deafness, autosomal recessive",GJB3,1.0,ClinVar_2019
0.5,13,mitochondrial diseases,TWNK,1.0,ClinVar_2019
0.55,1,brugada syndrome,"CACNB2, KCNE3",0.10026804690280061,ClinVar_2019
0.55,2,"human immunodeficiency virus type 1, susceptibility to","KIR3DL1, TLR3",0.16009772769296007,ClinVar_2019
0.55,10,atypical hemolytic uremic syndrome,CFHR4,0.7241089172416604,ClinVar_2019
0.55,14,neoplasm of lung,CYP2A6,0.7957179025099713,ClinVar_2019
0.55,11,romano-ward syndrome,KCNJ5,0.8010109531615043,ClinVar_2019
0.55,9,hemolytic-uremic syndrome,CFHR4,0.8045654636018449,ClinVar_2019
0.55,8,nemaline myopathy,KBTBD13,0.8063504935539028,ClinVar_2019
0.55,13,hypogonadotropic hypogonadism 7 with or without anosmia,DUSP6,0.8569269719338153,ClinVar_2019
0.55,15,amyotrophic lateral sclerosis,ANG,0.8958671199452145,ClinVar_2019
0.55,7,mitochondrial dna deletion syndromes,TWNK,0.9215434212044603,ClinVar_2019
0.55,12,lung cancer,CYP2A6,0.9283375529282999,ClinVar_2019
0.55,6,distal arthrogryposis,MYH8,0.9428308339074093,ClinVar_2019
0.55,5,perrault syndrome,TWNK,0.9719233512579327,ClinVar_2019
0.55,3,familial partial lipodystrophy,LIPE,1.0,ClinVar_2019
0.55,4,hereditary nephrotic syndrome,TRPC6,1.0,ClinVar_2019
0.55,16,parkinson disease,GIGYF2,1.0,ClinVar_2019
0.55,17,autosomal dominant non-syndromic sensorineural deafness type dfna,GJB3,1.0,ClinVar_2019
0.55,18,combined oxidative phosphorylation deficiency,MRPS34,1.0,ClinVar_2019
0.55,20,"nonsyndromic hearing loss and deafness, autosomal recessive",GJB3,1.0,ClinVar_2019
0.55,21,mitochondrial diseases,TWNK,1.0,ClinVar_2019
0.6,1,brugada syndrome,"CACNB2, KCNE3",0.12367904033687997,ClinVar_2019
0.6,2,"human immunodeficiency virus type 1, susceptibility to","KIR3DL1, TLR3",0.19708462956385053,ClinVar_2019
0.6,10,atypical hemolytic uremic syndrome,CFHR4,0.8029629932401768,ClinVar_2019
