AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,Intellectual Disability,"RTN2, CD96, SLC46A1, UNC13A, CTDP1, KCNK9, TGDS, TWNK, NRXN3, IGF1, AFF4, GIGYF2, KBTBD13, ARHGAP31, DPP6, SPTLC2, GJB3, MYH8, DCHS1, SPTAN1",0.00043706320904962945,DisGeNET
0.5,2,Short stature,"CD96, DPP6, CTDP1, TGDS, GJB3, GPD1, MYH8, NRXN3, WISP3, IGF1, AFF4",0.0018080198831246373,DisGeNET
0.5,8,Congenital clinodactyly,"CD96, NSMF, DCHS1, IGF1",0.048642878576386085,DisGeNET
0.5,7,Poor school performance,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.04887756859664976,DisGeNET
0.5,5,Dull intelligence,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.048878917785462994,DisGeNET
0.5,10,Anxiety,"NTRK2, UNC13A, FGF9, NSMF, ANG, IGF1, ESR2",0.05315145297793018,DisGeNET
0.5,9,Mental deficiency,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.05645083812815247,DisGeNET
0.5,6,Curvature of digit,"CD96, NSMF, DCHS1, IGF1",0.05667246736527821,DisGeNET
0.5,11,Congenital clubfoot,"ARHGAP31, CTDP1, TGDS, MYH8, DCHS1",0.057277663695629345,DisGeNET
0.5,14,Talipes,"CD96, LMBR1, ARHGAP31",0.06073703881785538,DisGeNET
0.5,4,Low intelligence,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.06109864723182874,DisGeNET
0.5,13,Syncope,"KCNJ5, CACNB2, TRPM4",0.06540911872692118,DisGeNET
0.5,12,Talipes foot deformities,"CD96, LMBR1, ARHGAP31",0.06564360745743532,DisGeNET
0.5,29,Symphalangism affecting the phalanges of the hand,"FGF9, MYH8",0.06810738305727258,DisGeNET
