AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,2,Proteins Involved in Diabetic Neuropathy,"NTRK2, UNC13A, IGF1",0.31706367762539256,Elsevier_Pathway_Collection
0.5,3,Vascularization in Hepatocellular Carcinoma,"ANG, IGF1",0.3451157053752829,Elsevier_Pathway_Collection
0.5,1,Proteins Involved in Arterial Hypertension,"KCNJ5, TRPC6, IGF1, ESR2, TRPM4",0.3612843624471669,Elsevier_Pathway_Collection
0.5,4,CHRM1/2/3/5 -> Ion Channels,"KCNJ5, KCNK9",0.5202956515564936,Elsevier_Pathway_Collection
0.5,7,Proteins Involved in Endometriosis,"SCARB1, FGF9, IGF1, ESR2",0.5375691977175533,Elsevier_Pathway_Collection
0.5,6,Aldosterone Synthesis Chronic Regulation,"KCNJ5, CACNB2",0.5788421098962887,Elsevier_Pathway_Collection
0.5,10,Proteins Involved in Glioma,"TRPC6, ANG, IGF1, ESR2",0.5895014511324123,Elsevier_Pathway_Collection
0.5,9,Dendritic Spine Morphogenesis and Stabilization,"NTRK2, SPTAN1",0.639424827279831,Elsevier_Pathway_Collection
0.5,8,TRPM4/6/7/8 Signaling in Arterial Hypertension (Hypothesis),"CACNB2, TRPM4",0.6843157604025547,Elsevier_Pathway_Collection
0.5,5,Proteins Involved in Prolactinoma,"IGF1, ESR2",0.6946105318755464,Elsevier_Pathway_Collection
0.5,11,Growth Factor Signaling in Neuroblastoma,"NTRK2, IGF1",0.7181846950490223,Elsevier_Pathway_Collection
0.5,93,Potassium Cycling in the Inner Ear (Congenital Deafness),GJB3,0.9321546555615657,Elsevier_Pathway_Collection
0.5,92,beta-Cell Granules Exocytois,UNC13A,0.9422867713828872,Elsevier_Pathway_Collection
0.5,95,Local Estrogen Production in Endometriosis,ESR2,0.9495617033600025,Elsevier_Pathway_Collection
0.5,91,G-Proteins Signaling in Insulin Secretion in beta-Cell,TRPM4,0.9526415710684134,Elsevier_Pathway_Collection
0.5,105,Postsynaptic Neuron Activation,NTRK2,0.9592188402246405,Elsevier_Pathway_Collection
0.5,94,Axonal Transport,NTRK2,0.9596634236085131,Elsevier_Pathway_Collection
0.5,90,Proteins with Altered Expression in Asthma,IGF1,0.963226477413618,Elsevier_Pathway_Collection
0.5,86,Tight Junction Assembly (JAMs),SPTAN1,0.9670347923253538,Elsevier_Pathway_Collection
0.5,104,"Hypothyroidism, Secondary (Central)",IGF1,0.9684420983037236,Elsevier_Pathway_Collection
0.55,28,"Proteins with Altered Expression in Muscular Dystrophy, Facioscapulohumeral",CDKN1A,1.0,Elsevier_Pathway_Collection
0.55,29,TLR3 -> NF-kB Signaling,TLR3,1.0,Elsevier_Pathway_Collection
0.55,3,Vascularization in Hepatocellular Carcinoma,"ANG, IGF1",1.0,Elsevier_Pathway_Collection
0.55,34,Proteins Involved in Lesch-Nyhan Syndrome,NTRK2,1.0,Elsevier_Pathway_Collection
0.55,35,Proteins with Altered Expression in Acne Vulgaris,IGF1,1.0,Elsevier_Pathway_Collection
0.55,36,Vitamin D and Folate in Multiple Sclerosis,SLC46A1,1.0,Elsevier_Pathway_Collection
0.55,37,tRNA Transcription and Processing,BRF1,1.0,Elsevier_Pathway_Collection
0.55,38,IGF1R -> ARRB1/ERK1/3 Signaling,IGF1,1.0,Elsevier_Pathway_Collection
0.55,39,TLR3 -> IRF Signaling,TLR3,1.0,Elsevier_Pathway_Collection
0.55,40,Hyperosmotic Stress in Diabetic Neuropathy,SORD,1.0,Elsevier_Pathway_Collection
0.55,5,CHRM1/2/3/5 -> Ion Channels,"KCNJ5, KCNK9",1.0,Elsevier_Pathway_Collection
0.55,46,Timothy Syndrome,CACNB2,1.0,Elsevier_Pathway_Collection
0.55,47,NPR1/NPR2 -> Fatty Acid Signaling,LIPE,1.0,Elsevier_Pathway_Collection
0.55,50,Estrogen Deficiency in Female Obesity,ESR2,1.0,Elsevier_Pathway_Collection
0.55,51,Visual Cycle in Retinal Cones,OPN1MW,1.0,Elsevier_Pathway_Collection
0.55,52,Vitamin D Activates Transcription,CDKN1A,1.0,Elsevier_Pathway_Collection
0.55,53,IGF1R -> CEBPA/FOXO1A Signaling,IGF1,1.0,Elsevier_Pathway_Collection
0.55,54,IGF1R -> STAT Signaling,IGF1,1.0,Elsevier_Pathway_Collection
0.55,55,CAV1 Dependent Senescence of Lung Fibroblasts,CDKN1A,1.0,Elsevier_Pathway_Collection
0.55,56,Ubiquitin Ligase Complex in Prostata Cell,ESR2,1.0,Elsevier_Pathway_Collection
0.6,1,Proteins Involved in Diabetic Neuropathy,"NTRK2, SCN10A, UNC13A, IGF1",0.5425670357012161,Elsevier_Pathway_Collection
0.6,11,Proteins Involved in Hearing Loss,"CACNB2, CEACAM16, TPMT, GJB3, DUSP6",0.6270548363170889,Elsevier_Pathway_Collection
