AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,6,Electrodermal activity,NRXN3,1.0,GWAS_Catalog_2019
0.5,7,Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer,TRPC6,1.0,GWAS_Catalog_2019
0.5,8,Amyotrophic lateral sclerosis in C9orf72 mutation positive individuals,UNC13A,1.0,GWAS_Catalog_2019
0.5,9,Circulating phylloquinone levels,KCNK9,1.0,GWAS_Catalog_2019
0.5,10,Visceral adipose tissue,KCNK9,1.0,GWAS_Catalog_2019
0.5,11,Vitamin E levels,SCARB1,1.0,GWAS_Catalog_2019
0.5,12,Coronary heart disease (SNP X SNP interaction),HFE2,1.0,GWAS_Catalog_2019
0.5,14,Current cigarettes per day in chronic obstructive pulmonary disease,CD96,1.0,GWAS_Catalog_2019
0.5,16,Amyotrophic lateral sclerosis (age of onset),NRXN3,1.0,GWAS_Catalog_2019
0.5,17,Response to platinum-based chemotherapy in non-small-cell lung cancer,NRXN3,1.0,GWAS_Catalog_2019
0.5,18,Fasting blood insulin,IGF1,1.0,GWAS_Catalog_2019
0.5,19,Small vessel stroke,CACNB2,1.0,GWAS_Catalog_2019
0.5,20,Brain volume in infants (grey matter),CACNB2,1.0,GWAS_Catalog_2019
0.5,21,Modified Stumvoll Insulin Sensitivity Index (BMI interaction),FGF9,1.0,GWAS_Catalog_2019
0.5,22,Lipoprotein phospholipase A2 activity in cardiovascular disease,SCARB1,1.0,GWAS_Catalog_2019
0.5,23,Severity of nausea and vomiting of pregnancy,TRPC6,1.0,GWAS_Catalog_2019
0.5,24,Osteoprotegerin levels,SLC46A1,1.0,GWAS_Catalog_2019
0.5,25,Lipoprotein-associated phospholipase A2 activity and mass,SCARB1,1.0,GWAS_Catalog_2019
0.5,26,Response to quetiapine in schizophrenia,IGF1,1.0,GWAS_Catalog_2019
0.5,27,Mammographic density (dense area),IGF1,1.0,GWAS_Catalog_2019
0.55,1,Visceral adipose tissue,"KCNK9, ROBO1",0.34478817085811153,GWAS_Catalog_2019
0.55,4,Electrodermal activity,NRXN3,1.0,GWAS_Catalog_2019
0.55,5,Facial emotion recognition,ROBO1,1.0,GWAS_Catalog_2019
0.55,6,Amyotrophic lateral sclerosis in C9orf72 mutation positive individuals,UNC13A,1.0,GWAS_Catalog_2019
0.55,7,Vitamin E levels,SCARB1,1.0,GWAS_Catalog_2019
0.55,8,Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer,TRPC6,1.0,GWAS_Catalog_2019
0.55,9,Circulating phylloquinone levels,KCNK9,1.0,GWAS_Catalog_2019
0.55,10,Coronary heart disease (SNP X SNP interaction),HFE2,1.0,GWAS_Catalog_2019
0.55,11,Diabetic retinopathy in type 2 diabetes,TBX18,1.0,GWAS_Catalog_2019
0.55,16,Electrocardiographic conduction measures,CDKN1A,1.0,GWAS_Catalog_2019
0.55,17,Type 2 diabetes nephropathy including microalbuminuria,PRCD,1.0,GWAS_Catalog_2019
0.55,18,"Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)",CYP2A6,1.0,GWAS_Catalog_2019
0.55,19,"Caffeine metabolism (plasma 3,7-dimethylxanthine (theobromine) level)",CYP2A6,1.0,GWAS_Catalog_2019
0.55,20,End-stage renal disease,APOL1,1.0,GWAS_Catalog_2019
0.55,21,Attention deficit hyperactivity disorder or cannabis use,SLC6A9,1.0,GWAS_Catalog_2019
0.55,22,Plasma amyloid beta peptide concentrations (ABx-42),KRT86,1.0,GWAS_Catalog_2019
0.55,23,Brain connectivity,UBE2A,1.0,GWAS_Catalog_2019
0.55,24,QRS complex (Cornell),CDKN1A,1.0,GWAS_Catalog_2019
0.55,25,Food allergy (parent-of-origin effect),IQCE,1.0,GWAS_Catalog_2019
0.55,26,Brain imaging in schizophrenia (dorsolateral prefrontal cortex interaction),ROBO1,1.0,GWAS_Catalog_2019
0.6,2,Electrocardiographic conduction measures,"CDKN1A, SCN10A",0.3182463379501195,GWAS_Catalog_2019
0.6,1,Visceral adipose tissue,"KCNK9, ROBO1",0.42571641602441557,GWAS_Catalog_2019
0.6,6,Electrodermal activity,NRXN3,1.0,GWAS_Catalog_2019
0.6,7,Facial emotion recognition,ROBO1,1.0,GWAS_Catalog_2019
0.6,8,Amyotrophic lateral sclerosis in C9orf72 mutation positive individuals,UNC13A,1.0,GWAS_Catalog_2019
0.6,9,Vitamin E levels,SCARB1,1.0,GWAS_Catalog_2019
0.6,10,Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer,TRPC6,1.0,GWAS_Catalog_2019
0.6,11,Circulating phylloquinone levels,KCNK9,1.0,GWAS_Catalog_2019
0.6,12,Coronary heart disease (SNP X SNP interaction),HFE2,1.0,GWAS_Catalog_2019
0.6,13,Diabetic retinopathy in type 2 diabetes,TBX18,1.0,GWAS_Catalog_2019
0.6,16,Type 2 diabetes nephropathy including microalbuminuria,PRCD,1.0,GWAS_Catalog_2019
0.6,17,"Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)",CYP2A6,1.0,GWAS_Catalog_2019
0.6,18,"Caffeine metabolism (plasma 3,7-dimethylxanthine (theobromine) level)",CYP2A6,1.0,GWAS_Catalog_2019
0.6,24,End-stage renal disease,APOL1,1.0,GWAS_Catalog_2019
0.6,25,Atrioventricular conduction,SCN10A,1.0,GWAS_Catalog_2019
0.6,26,Attention deficit hyperactivity disorder or cannabis use,SLC6A9,1.0,GWAS_Catalog_2019
0.6,27,Plasma amyloid beta peptide concentrations (ABx-42),KRT86,1.0,GWAS_Catalog_2019
0.6,28,Brain connectivity,UBE2A,1.0,GWAS_Catalog_2019
0.6,29,QRS complex (Cornell),CDKN1A,1.0,GWAS_Catalog_2019
0.6,30,Laterality in neovascular age-related macular degeneration,LHCGR,1.0,GWAS_Catalog_2019
0.65,2,Electrocardiographic conduction measures,"CDKN1A, SCN10A",0.4352976516817578,GWAS_Catalog_2019
0.65,1,Visceral adipose tissue,"KCNK9, ROBO1",0.5826258229785619,GWAS_Catalog_2019
0.65,7,Electrodermal activity,NRXN3,1.0,GWAS_Catalog_2019
0.65,8,Facial emotion recognition,ROBO1,1.0,GWAS_Catalog_2019
0.65,9,Amyotrophic lateral sclerosis in C9orf72 mutation positive individuals,UNC13A,1.0,GWAS_Catalog_2019
0.65,10,Vitamin E levels,SCARB1,1.0,GWAS_Catalog_2019
0.65,11,Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer,TRPC6,1.0,GWAS_Catalog_2019
0.65,12,Circulating phylloquinone levels,KCNK9,1.0,GWAS_Catalog_2019
0.65,13,Coronary heart disease (SNP X SNP interaction),HFE2,1.0,GWAS_Catalog_2019
0.65,14,Diabetic retinopathy in type 2 diabetes,TBX18,1.0,GWAS_Catalog_2019
0.65,16,Type 2 diabetes nephropathy including microalbuminuria,PRCD,1.0,GWAS_Catalog_2019
0.65,17,Body mass index  (smoking years interaction),KCNE2,1.0,GWAS_Catalog_2019
0.65,18,"Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)",CYP2A6,1.0,GWAS_Catalog_2019
0.65,19,"Caffeine metabolism (plasma 3,7-dimethylxanthine (theobromine) level)",CYP2A6,1.0,GWAS_Catalog_2019
0.65,24,End-stage renal disease,APOL1,1.0,GWAS_Catalog_2019
0.65,25,Atrioventricular conduction,SCN10A,1.0,GWAS_Catalog_2019
