AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,L-Tyrosine (HMDB00158),YARS,1.0,HMDB_Metabolites
0.5,2,Glycerol 3-phosphate (HMDB00126),GPD1,1.0,HMDB_Metabolites
0.5,3,Dihydroxyacetone phosphate (HMDB01473),GPD1,1.0,HMDB_Metabolites
0.5,4,TYD (HMDB01274),TGDS,1.0,HMDB_Metabolites
0.5,5,L-Serine (HMDB00187),SPTLC2,1.0,HMDB_Metabolites
0.5,6,Verapamil (HMDB01850),CACNB2,1.0,HMDB_Metabolites
0.5,7,Hexadecanoyl-CoA (HMDB01338),SPTLC2,1.0,HMDB_Metabolites
0.5,10,Estradiol (HMDB00151),ESR2,1.0,HMDB_Metabolites
0.5,11,Guanosine diphosphate (HMDB01201),GFM2,1.0,HMDB_Metabolites
0.5,12,Pyridoxal 5'-phosphate (HMDB01491),SPTLC2,1.0,HMDB_Metabolites
0.5,8,NADH (HMDB01487),"TGDS, GPD1",1.0,HMDB_Metabolites
0.5,14,Carbon dioxide (HMDB01967),SPTLC2,1.0,HMDB_Metabolites
0.5,9,NAD (HMDB00902),"TGDS, GPD1",1.0,HMDB_Metabolites
0.5,15,Coenzyme A (HMDB01423),SPTLC2,1.0,HMDB_Metabolites
0.5,13,Phosphate (HMDB01429),"CTDP1, GFM2",1.0,HMDB_Metabolites
0.5,16,Guanosine triphosphate (HMDB01273),"GFM2, TUBA4A",1.0,HMDB_Metabolites
0.5,17,Iron (HMDB00692),HFE2,1.0,HMDB_Metabolites
0.5,18,Adenosine monophosphate (HMDB00045),YARS,1.0,HMDB_Metabolites
0.5,19,Phosphoric acid (HMDB02142),YARS,1.0,HMDB_Metabolites
0.5,20,Pyrophosphate (HMDB00250),YARS,1.0,HMDB_Metabolites
0.55,1012,C37H74O4 (HMDB11146),PLCD1,0.7800807812149227,HMDB_Metabolites
0.55,1011,DG(24:1(15Z)/24:1(15Z)/0:0) (HMDB07848),PLCD1,0.7808523744703282,HMDB_Metabolites
0.55,1010,DG(24:1(15Z)/24:0/0:0) (HMDB07847),PLCD1,0.7816254956331701,HMDB_Metabolites
0.55,1009,"DG(24:1(15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) (HMDB07846)",PLCD1,0.7824001492462852,HMDB_Metabolites
0.55,1008,"DG(24:1(15Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) (HMDB07845)",PLCD1,0.7831763398705375,HMDB_Metabolites
0.55,1007,"DG(24:1(15Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) (HMDB07844)",PLCD1,0.7839540720849074,HMDB_Metabolites
0.55,1006,"DG(24:1(15Z)/22:4(7Z,10Z,13Z,16Z)/0:0) (HMDB07843)",PLCD1,0.7847333504865823,HMDB_Metabolites
0.55,1005,"DG(24:1(15Z)/22:2(13Z,16Z)/0:0) (HMDB07842)",PLCD1,0.7855141796910465,HMDB_Metabolites
0.55,1004,DG(24:1(15Z)/22:1(13Z)/0:0) (HMDB07841),PLCD1,0.7862965643321731,HMDB_Metabolites
0.55,1003,DG(24:1(15Z)/22:0/0:0) (HMDB07840),PLCD1,0.7870805090623149,HMDB_Metabolites
0.55,1002,"DG(24:1(15Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) (HMDB07839)",PLCD1,0.787866018552397,HMDB_Metabolites
0.55,1001,"DG(24:1(15Z)/20:4(8Z,11Z,14Z,17Z)/0:0) (HMDB07838)",PLCD1,0.7886530974920097,HMDB_Metabolites
0.55,1000,"DG(24:1(15Z)/20:4(5Z,8Z,11Z,14Z)/0:0) (HMDB07837)",PLCD1,0.7894417505895018,HMDB_Metabolites
0.55,999,"DG(24:1(15Z)/20:3(8Z,11Z,14Z)/0:0) (HMDB07836)",PLCD1,0.7902319825720738,HMDB_Metabolites
0.55,998,"DG(24:1(15Z)/20:3(5Z,8Z,11Z)/0:0) (HMDB07835)",PLCD1,0.7910237981858735,HMDB_Metabolites
0.55,997,"DG(24:1(15Z)/20:2(11Z,14Z)/0:0) (HMDB07834)",PLCD1,0.7918172021960901,HMDB_Metabolites
0.55,996,DG(24:1(15Z)/20:1(11Z)/0:0) (HMDB07833),PLCD1,0.79261219938705,HMDB_Metabolites
0.55,1013,S-Adenosylhomocysteine (HMDB00939),TPMT,0.7931899226856148,HMDB_Metabolites
0.55,995,DG(24:1(15Z)/20:0/0:0) (HMDB07832),PLCD1,0.7934087945623134,HMDB_Metabolites
0.55,994,C45H78O5 (HMDB07831),PLCD1,0.7942069925447705,HMDB_Metabolites
0.6,1017,C37H74O4 (HMDB11146),PLCD1,0.8523564567894438,HMDB_Metabolites
0.6,1016,DG(24:1(15Z)/24:1(15Z)/0:0) (HMDB07848),PLCD1,0.8531953903099059,HMDB_Metabolites
0.6,1015,DG(24:1(15Z)/24:0/0:0) (HMDB07847),PLCD1,0.8540359769013443,HMDB_Metabolites
0.6,1014,"DG(24:1(15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) (HMDB07846)",PLCD1,0.8548782214545013,HMDB_Metabolites
0.6,1013,"DG(24:1(15Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) (HMDB07845)",PLCD1,0.8557221288794318,HMDB_Metabolites
0.6,1012,"DG(24:1(15Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) (HMDB07844)",PLCD1,0.8565677041055972,HMDB_Metabolites
0.6,1011,"DG(24:1(15Z)/22:4(7Z,10Z,13Z,16Z)/0:0) (HMDB07843)",PLCD1,0.8574149520819627,HMDB_Metabolites
0.6,1010,"DG(24:1(15Z)/22:2(13Z,16Z)/0:0) (HMDB07842)",PLCD1,0.8582638777770935,HMDB_Metabolites
0.6,1009,DG(24:1(15Z)/22:1(13Z)/0:0) (HMDB07841),PLCD1,0.8591144861792511,HMDB_Metabolites
0.6,1008,DG(24:1(15Z)/22:0/0:0) (HMDB07840),PLCD1,0.8599667822964924,HMDB_Metabolites
0.6,1007,"DG(24:1(15Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) (HMDB07839)",PLCD1,0.860820771156767,HMDB_Metabolites
0.6,1006,"DG(24:1(15Z)/20:4(8Z,11Z,14Z,17Z)/0:0) (HMDB07838)",PLCD1,0.8616764578080163,HMDB_Metabolites
0.6,1005,"DG(24:1(15Z)/20:4(5Z,8Z,11Z,14Z)/0:0) (HMDB07837)",PLCD1,0.862533847318273,HMDB_Metabolites
0.6,1004,"DG(24:1(15Z)/20:3(8Z,11Z,14Z)/0:0) (HMDB07836)",PLCD1,0.8633929447757613,HMDB_Metabolites
0.6,1003,"DG(24:1(15Z)/20:3(5Z,8Z,11Z)/0:0) (HMDB07835)",PLCD1,0.8642537552889974,HMDB_Metabolites
0.6,1002,"DG(24:1(15Z)/20:2(11Z,14Z)/0:0) (HMDB07834)",PLCD1,0.8651162839868906,HMDB_Metabolites
0.6,1001,DG(24:1(15Z)/20:1(11Z)/0:0) (HMDB07833),PLCD1,0.8659805360188455,HMDB_Metabolites
0.6,1018,S-Adenosylhomocysteine (HMDB00939),TPMT,0.8664836410512319,HMDB_Metabolites
0.6,1000,DG(24:1(15Z)/20:0/0:0) (HMDB07832),PLCD1,0.8668465165548643,HMDB_Metabolites
0.6,999,C45H78O5 (HMDB07831),PLCD1,0.86771423078565,HMDB_Metabolites
0.65,1026,C37H74O4 (HMDB11146),PLCD1,0.9689403154627289,HMDB_Metabolites
0.65,1025,DG(24:1(15Z)/24:1(15Z)/0:0) (HMDB07848),PLCD1,0.9698856230875705,HMDB_Metabolites
0.65,1024,DG(24:1(15Z)/24:0/0:0) (HMDB07847),PLCD1,0.9708327770163669,HMDB_Metabolites
