AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,AdrenalCortex,"KCNJ5, SCARB1",1.0,Human_Gene_Atlas
0.5,2,CerebellumPeduncles,"FGF9, NRXN3",1.0,Human_Gene_Atlas
0.5,7,Adrenalgland,SCARB1,1.0,Human_Gene_Atlas
0.5,5,Uterus,"DCHS1, IGF1",1.0,Human_Gene_Atlas
0.5,9,Thalamus,DPP6,1.0,Human_Gene_Atlas
0.5,3,Liver,"GPD1, ANG, IGF1, AFF4",1.0,Human_Gene_Atlas
0.5,4,SkeletalMuscle,"RTN2, MYH8, HFE2",1.0,Human_Gene_Atlas
0.5,12,Pancreas,TGDS,1.0,Human_Gene_Atlas
0.5,6,PrefrontalCortex,"NTRK2, MAPK8IP3, SPTAN1",1.0,Human_Gene_Atlas
0.5,14,Tongue,HFE2,1.0,Human_Gene_Atlas
0.5,16,Fetalliver,GFM2,1.0,Human_Gene_Atlas
0.5,10,Amygdala,"NTRK2, DPP6",1.0,Human_Gene_Atlas
0.5,8,SuperiorCervicalGanglion,"KCNJ5, SPTLC2, WISP3",1.0,Human_Gene_Atlas
0.5,13,CD14+ Monocytes,"CTDP1, SPTLC2",1.0,Human_Gene_Atlas
0.5,11,pineal day,"CACNB2, SPTAN1, TUBA4A",1.0,Human_Gene_Atlas
0.5,15,Heart,"MYH8, DCHS1",1.0,Human_Gene_Atlas
0.5,18,Adipocyte,GPD1,1.0,Human_Gene_Atlas
0.5,17,BDCA4+ DendriticCells,"CTDP1, SPTLC2",1.0,Human_Gene_Atlas
0.5,19,Wholebrain,NTRK2,1.0,Human_Gene_Atlas
0.5,20,Prostate,TRPM4,1.0,Human_Gene_Atlas
0.55,2,AdrenalCortex,"KCNJ5, SCARB1",1.0,Human_Gene_Atlas
0.55,1,Liver,"CYP2A6, CFHR4, GPD1, ANG, IGF1, BAAT, AFF4",1.0,Human_Gene_Atlas
0.55,4,CerebellumPeduncles,"FGF9, NRXN3",1.0,Human_Gene_Atlas
0.55,3,CD14+ Monocytes,"CTDP1, SPTLC2, IRAK3, DUSP6",1.0,Human_Gene_Atlas
0.55,8,Adrenalgland,SCARB1,1.0,Human_Gene_Atlas
0.55,9,Caudatenucleus,PDYN,1.0,Human_Gene_Atlas
0.55,5,Adipocyte,"LIPE, GPD1",1.0,Human_Gene_Atlas
0.55,12,Thalamus,DPP6,1.0,Human_Gene_Atlas
0.55,7,Uterus,"DCHS1, IGF1",1.0,Human_Gene_Atlas
0.55,6,PrefrontalCortex,"NTRK2, IQCE, MAPK8IP3, SPTAN1",1.0,Human_Gene_Atlas
0.55,15,Pancreas,TGDS,1.0,Human_Gene_Atlas
0.55,13,Prostate,"SORD, TRPM4",1.0,Human_Gene_Atlas
0.55,11,Heart,"SLC25A3, MYH8, DCHS1",1.0,Human_Gene_Atlas
0.55,19,TestisLeydigCell,IQCE,1.0,Human_Gene_Atlas
0.55,10,SuperiorCervicalGanglion,"KCNJ5, SPTLC2, ZFR, WISP3",1.0,Human_Gene_Atlas
0.55,20,Tongue,HFE2,1.0,Human_Gene_Atlas
0.55,14,SkeletalMuscle,"RTN2, MYH8, HFE2",1.0,Human_Gene_Atlas
0.55,16,BronchialEpithelialCells,"CDKN1A, GJB3",1.0,Human_Gene_Atlas
0.55,23,Fetalliver,GFM2,1.0,Human_Gene_Atlas
0.55,17,pineal night,"CACNB2, HNRNPH2, KRT86, TUBA4A",1.0,Human_Gene_Atlas
0.6,2,AdrenalCortex,"KCNJ5, SCARB1",1.0,Human_Gene_Atlas
0.6,1,Liver,"CYP2A6, CFHR4, GPD1, ANG, IGF1, BAAT, AFF4",1.0,Human_Gene_Atlas
0.6,4,CerebellumPeduncles,"FGF9, NRXN3",1.0,Human_Gene_Atlas
0.6,3,CD14+ Monocytes,"CTDP1, SPTLC2, IRAK3, DUSP6",1.0,Human_Gene_Atlas
0.6,11,Adrenalgland,SCARB1,1.0,Human_Gene_Atlas
0.6,12,Caudatenucleus,PDYN,1.0,Human_Gene_Atlas
0.6,6,Adipocyte,"LIPE, GPD1",1.0,Human_Gene_Atlas
0.6,13,Thalamus,DPP6,1.0,Human_Gene_Atlas
0.6,5,SuperiorCervicalGanglion,"KCNJ5, LHCGR, SPTLC2, ZFR, WISP3",1.0,Human_Gene_Atlas
0.6,10,Uterus,"DCHS1, IGF1",1.0,Human_Gene_Atlas
0.6,8,Amygdala,"NTRK2, DPP6, MUT",1.0,Human_Gene_Atlas
0.6,7,pineal night,"CACNB2, HNRNPH2, KRT86, MUT, TUBA4A",1.0,Human_Gene_Atlas
0.6,9,PrefrontalCortex,"NTRK2, IQCE, MAPK8IP3, SPTAN1",1.0,Human_Gene_Atlas
0.6,19,Pancreas,TGDS,1.0,Human_Gene_Atlas
0.6,15,Prostate,"SORD, TRPM4",1.0,Human_Gene_Atlas
0.6,21,TestisLeydigCell,IQCE,1.0,Human_Gene_Atlas
0.6,14,Heart,"SLC25A3, MYH8, DCHS1",1.0,Human_Gene_Atlas
0.6,22,Tongue,HFE2,1.0,Human_Gene_Atlas
0.6,16,CD8+ Tcells,"CD96, UBTF, NLRP1, MALT1",1.0,Human_Gene_Atlas
0.6,18,SkeletalMuscle,"RTN2, MYH8, HFE2",1.0,Human_Gene_Atlas
0.65,1,Adrenalgland,"SCARB1, TGM6",1.0,Human_Gene_Atlas
0.65,2,Prostate,"IDH1, SORD, NEFH, TRPM4",1.0,Human_Gene_Atlas
0.65,5,Adipocyte,"LIPE, GPD1, CHRDL1",1.0,Human_Gene_Atlas
0.65,9,AdrenalCortex,"SCARB1, KCNJ5",1.0,Human_Gene_Atlas
0.65,4,CD14+ Monocytes,"CTDP1, SPTLC2, SCO2, IRAK3, DUSP6",1.0,Human_Gene_Atlas
0.65,8,Uterus,"DCHS1, IGF1, CHRDL1",1.0,Human_Gene_Atlas
0.65,3,Liver,"CYP2A6, CFHR4, GPD1, ANG, IGF1, BAAT, AFF4",1.0,Human_Gene_Atlas
0.65,11,CerebellumPeduncles,"FGF9, NRXN3",1.0,Human_Gene_Atlas
0.65,6,pineal night,"CACNB2, PCSK1, HNRNPH2, KRT86, MUT, NEFH, TUBA4A",1.0,Human_Gene_Atlas
0.65,7,CD33+ Myeloid,"KLF11, SPTLC2, SCO2, IRAK3, NLRP1, DUSP6, TAF1",1.0,Human_Gene_Atlas
0.65,10,SuperiorCervicalGanglion,"KCNJ5, LHCGR, SPTLC2, ZFR, WISP3, CASC5",1.0,Human_Gene_Atlas
0.65,13,Caudatenucleus,PDYN,1.0,Human_Gene_Atlas
0.65,15,Thalamus,DPP6,1.0,Human_Gene_Atlas
0.65,12,Amygdala,"NTRK2, DPP6, MUT",1.0,Human_Gene_Atlas
0.65,17,Pancreas,TGDS,1.0,Human_Gene_Atlas
0.65,14,PrefrontalCortex,"NTRK2, IQCE, MAPK8IP3, SPTAN1",1.0,Human_Gene_Atlas
0.65,19,TestisLeydigCell,IQCE,1.0,Human_Gene_Atlas
0.65,23,Tongue,HFE2,1.0,Human_Gene_Atlas
0.65,18,Heart,"SLC25A3, MYH8, DCHS1",1.0,Human_Gene_Atlas
0.65,16,721 B lymphoblasts,"CARS, GFM2, MRPS34, AAGAB, HNRNPR, GARS, APOL1, GIGYF2, MALT1, DFNA5",1.0,Human_Gene_Atlas
0.7,4,Adrenalgland,"SCARB1, TGM6",1.0,Human_Gene_Atlas
0.7,1,CD14+ Monocytes,"CTDP1, SPTLC2, SCO2, KIAA0196, TRIP4, IRAK3, DUSP6",1.0,Human_Gene_Atlas
0.7,3,CerebellumPeduncles,"CYP26B1, FGF9, NRXN3",1.0,Human_Gene_Atlas
0.7,2,pineal night,"CACNB2, PCSK1, RBM8A, ROM1, HNRNPH2, KRT86, MUT, NEFH, TUBA4A",1.0,Human_Gene_Atlas
0.7,6,Prostate,"IDH1, SORD, NEFH, TRPM4",1.0,Human_Gene_Atlas
0.7,8,AdrenalCortex,"SCARB1, KCNJ5",1.0,Human_Gene_Atlas
0.7,5,Liver,"CYP2A6, CFHR4, GPD1, ANG, IGF1, BAAT, AFF4, MPDU1",1.0,Human_Gene_Atlas
0.7,7,Adipocyte,"LIPE, GPD1, CHRDL1",1.0,Human_Gene_Atlas
0.7,9,Uterus,"DCHS1, IGF1, CHRDL1",1.0,Human_Gene_Atlas
0.7,15,Salivarygland,FAM111B,1.0,Human_Gene_Atlas
0.7,10,CD33+ Myeloid,"KLF11, SPTLC2, SCO2, IRAK3, NLRP1, DUSP6, TAF1",1.0,Human_Gene_Atlas
