AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,Autosomal dominant inheritance (HP:0000006),"YARS, RTN2, KCNJ5, NTRK2, CEACAM16, KCNK9, MAPK8IP3, GIGYF2, KBTBD13, CACNB2, LMBR1, ARHGAP31, SPTLC2, FGF9, GJB3, MYH8, C10ORF2, NSMF, ANG, SPTAN1, TRPM4",3.1563827102049206e-12,Human_Phenotype_Ontology
0.5,2,Syncope (HP:0001279),"KCNJ5, CACNB2, TRPM4",0.010659013105832369,Human_Phenotype_Ontology
0.5,3,Cutaneous syndactyly (HP:0012725),"LMBR1, MYH8, DCHS1",0.010765461701708957,Human_Phenotype_Ontology
0.5,5,Abnormal EKG (HP:0003115),"KCNJ5, CACNB2, TRPM4",0.01419544250594539,Human_Phenotype_Ontology
0.5,4,Hypogonadotrophic hypogonadism (HP:0000044),"CTDP1, HFE2, NSMF",0.016051137940578428,Human_Phenotype_Ontology
0.5,6,Sacral dimple (HP:0000960),"CD96, KCNK9, DCHS1",0.036569212281173435,Human_Phenotype_Ontology
0.5,9,Infantile onset (HP:0003593),"SLC46A1, CTDP1, GJB3, GPD1, SPTAN1",0.04074637353528824,Human_Phenotype_Ontology
0.5,7,Talipes equinovarus (HP:0001762),"ARHGAP31, CTDP1, MYH8, DCHS1",0.042633984229692244,Human_Phenotype_Ontology
0.5,8,Autosomal recessive inheritance (HP:0000007),"CD96, LMBR1, ARHGAP31, SLC46A1, CTDP1, GJB3, GPD1, WISP3, C10ORF2, HFE2, DCHS1, IGF1",0.04356716715513905,Human_Phenotype_Ontology
0.5,11,Absent hand (HP:0004050),"LMBR1, ARHGAP31",0.0653685006962088,Human_Phenotype_Ontology
0.5,10,Narrow forehead (HP:0000341),"CD96, KCNK9, DCHS1",0.06554982945910208,Human_Phenotype_Ontology
0.5,12,Symphalangism affecting the phalanges of the hand (HP:0009773),"FGF9, MYH8",0.06904548260539332,Human_Phenotype_Ontology
0.5,17,Ptosis (HP:0000508),"MYH8, C10ORF2, NSMF, DCHS1, IGF1",0.07959195673273697,Human_Phenotype_Ontology
0.5,15,Prolonged QT interval (HP:0001657),"KCNJ5, TRPM4",0.0801585514131934,Human_Phenotype_Ontology
0.5,13,Athetosis (HP:0002305),"SLC46A1, C10ORF2",0.08232613058543266,Human_Phenotype_Ontology
0.5,18,Bradycardia (HP:0001662),"C10ORF2, TRPM4",0.0827267637029765,Human_Phenotype_Ontology
0.5,16,Abnormal atrioventricular conduction (HP:0005150),"KCNJ5, TRPM4",0.08387516980887413,Human_Phenotype_Ontology
0.5,14,Heart block (HP:0012722),"KCNJ5, TRPM4",0.0858841622284215,Human_Phenotype_Ontology
0.5,19,Cutaneous finger syndactyly (HP:0010554),"LMBR1, DCHS1",0.08650442982813755,Human_Phenotype_Ontology
0.5,20,Hypergonadotropic hypogonadism (HP:0000815),"CTDP1, C10ORF2",0.09873674366293693,Human_Phenotype_Ontology
0.55,1,Autosomal dominant inheritance (HP:0000006),"RTN2, KCNK9, KCNE3, KRT86, GIGYF2, KBTBD13, LMBR1, SPTLC2, FGF9, C10ORF2, NLRP1, SPTAN1, CPA6, TRPM4, YARS, KCNJ5, NTRK2, CEACAM16, PDYN, MAPK8IP3, CACNB2, ARHGAP31, CYP2A6, GJB3, MYH8, NSMF, ANG, PLCD1",8.394257764917542e-11,Human_Phenotype_Ontology
0.55,2,Autosomal recessive inheritance (HP:0000007),"CD96, SLC25A3, SLC46A1, CTDP1, TPMT, PRCD, NDUFA1, WISP3, HFE2, SNX10, IGF1, BAAT, MALT1, LMBR1, ARHGAP31, HINT1, NLRP7, GJB3, GPD1, C10ORF2, DCHS1, SMN1, CPA6, PLCD1",0.000345431730378385,Human_Phenotype_Ontology
0.55,3,Abnormal EKG (HP:0003115),"KCNJ5, CACNB2, KCNE3, TRPM4",0.006518370697225842,Human_Phenotype_Ontology
0.55,4,Syncope (HP:0001279),"KCNJ5, CACNB2, TRPM4",0.04915071696470836,Human_Phenotype_Ontology
0.55,5,Cutaneous syndactyly (HP:0012725),"LMBR1, MYH8, DCHS1",0.05925657357289944,Human_Phenotype_Ontology
0.55,6,Multifactorial inheritance (HP:0001426),"GJB3, NLRP1, APOL1",0.0788924967087382,Human_Phenotype_Ontology
0.55,7,Hypogonadotrophic hypogonadism (HP:0000044),"CTDP1, HFE2, NSMF",0.08326184031019498,Human_Phenotype_Ontology
0.55,8,Sensory axonal neuropathy (HP:0003390),"HINT1, C10ORF2",0.12251157653851805,Human_Phenotype_Ontology
0.55,14,Sacral dimple (HP:0000960),"CD96, KCNK9, DCHS1",0.1385850620901589,Human_Phenotype_Ontology
