AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,Neurodegenerative disease,"YARS, RTN2, DPP6, C10ORF2, ANG, TUBA4A, GIGYF2",0.005007897586012479,Jensen_DISEASES
0.5,2,Amyotrophic lateral sclerosis,"DPP6, UNC13A, NRXN3",0.11168101760742849,Jensen_DISEASES
0.5,4,Synostosis,"CD96, FGF9",0.2723726942626252,Jensen_DISEASES
0.5,6,Neuropathy,"YARS, SPTLC2, C10ORF2",0.2789628218096925,Jensen_DISEASES
0.5,3,Brugada syndrome,"CACNB2, TRPM4",0.2811497897658624,Jensen_DISEASES
0.5,8,Peripheral neuropathy,"SPTLC2, GJB3",0.2971515017568457,Jensen_DISEASES
0.5,5,Conn's syndrome,"KCNJ5, KCNK9",0.3031733606733702,Jensen_DISEASES
0.5,7,Hyperaldosteronism,"KCNJ5, KCNK9",0.3396017162935379,Jensen_DISEASES
0.5,13,Intellectual disability,"DPP6, KCNK9, DCHS1, SPTAN1",0.5133362955498526,Jensen_DISEASES
0.5,12,Skin disease,"GJB3, IGF1",0.5298058451674588,Jensen_DISEASES
0.5,14,Distal arthrogryposis,"GFM2, MYH8",0.545291470002744,Jensen_DISEASES
0.5,9,Motor neuron disease,"DPP6, UNC13A",0.5464333028058723,Jensen_DISEASES
0.5,11,Hypertension,"KCNJ5, TRPC6, ANG, IGF1",0.5570196099927284,Jensen_DISEASES
0.5,10,Pancreatic cancer,"DPP6, NRXN3, DCHS1",0.5752023203659751,Jensen_DISEASES
0.5,15,Prader-Willi syndrome,"NDNL2, IGF1",0.8348979865538441,Jensen_DISEASES
0.5,41,Warsaw breakage syndrome,C10ORF2,0.8475514816890245,Jensen_DISEASES
0.5,40,Kleefstra syndrome,DPP6,0.8687402687312501,Jensen_DISEASES
0.5,31,Nonsyndromic deafness,"CEACAM16, GJB3",0.8790580375897407,Jensen_DISEASES
0.5,39,Nemaline myopathy,KBTBD13,0.8910156602371796,Jensen_DISEASES
0.5,43,Right bundle branch block,TRPM4,0.8969826153405592,Jensen_DISEASES
0.55,1,Neurodegenerative disease,"RTN2, YARS, DPP6, GRID2, C10ORF2, ANG, SMN1, PDYN, TUBA4A, GIGYF2",0.001440182853948619,Jensen_DISEASES
0.55,2,Brugada syndrome,"CACNB2, KCNE3, TRPM4",0.03491019431555812,Jensen_DISEASES
0.55,3,Intellectual disability,"DPP6, BRF1, KCNK9, DCHS1, UBE2A, SPTAN1, RAB40AL",0.22902091698678476,Jensen_DISEASES
0.55,4,Neuropathy,"YARS, HINT1, SPTLC2, C10ORF2",0.31659609757681684,Jensen_DISEASES
0.55,5,Amyotrophic lateral sclerosis,"DPP6, UNC13A, NRXN3",0.3950180623084753,Jensen_DISEASES
0.55,6,Synostosis,"CD96, FGF9",0.7866801814295687,Jensen_DISEASES
