AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,3,Aldosterone synthesis and secretion,"KCNJ5, SCARB1, KCNK9",0.12538662263575343,KEGG_2019_Human
0.5,1,MAPK signaling pathway,"NTRK2, CACNB2, FGF9, IGF1, MAPK8IP3",0.12643621645344325,KEGG_2019_Human
0.5,2,Vitamin digestion and absorption,"SCARB1, SLC46A1",0.18623016929622316,KEGG_2019_Human
0.5,4,Breast cancer,"FGF9, IGF1, ESR2",0.2981093211330034,KEGG_2019_Human
0.5,5,Ovarian steroidogenesis,"SCARB1, IGF1",0.3067819382741731,KEGG_2019_Human
0.5,6,Melanoma,"FGF9, IGF1",0.5385786474137163,KEGG_2019_Human
0.5,8,Hypertrophic cardiomyopathy (HCM),"CACNB2, IGF1",0.5543402245566791,KEGG_2019_Human
0.5,9,Dilated cardiomyopathy (DCM),"CACNB2, IGF1",0.5606443651378281,KEGG_2019_Human
0.5,7,Ras signaling pathway,"NTRK2, FGF9, IGF1",0.5948089912421464,KEGG_2019_Human
0.5,14,Oxytocin signaling pathway,"KCNJ5, CACNB2",0.941530733505263,KEGG_2019_Human
0.5,17,Aldosterone-regulated sodium reabsorption,IGF1,1.0,KEGG_2019_Human
0.5,18,Fat digestion and absorption,SCARB1,1.0,KEGG_2019_Human
0.5,19,Sphingolipid metabolism,SPTLC2,1.0,KEGG_2019_Human
0.5,10,Estrogen signaling pathway,"KCNJ5, ESR2",1.0,KEGG_2019_Human
0.5,11,Apoptosis,"SPTAN1, TUBA4A",1.0,KEGG_2019_Human
0.5,20,Cholesterol metabolism,SCARB1,1.0,KEGG_2019_Human
0.5,21,Mineral absorption,SLC46A1,1.0,KEGG_2019_Human
0.5,13,Phagosome,"SCARB1, TUBA4A",1.0,KEGG_2019_Human
0.5,23,Pathogenic Escherichia coli infection,TUBA4A,1.0,KEGG_2019_Human
0.5,24,Long-term depression,IGF1,1.0,KEGG_2019_Human
0.55,1,Aldosterone synthesis and secretion,"KCNJ5, LIPE, SCARB1, KCNK9",0.30900068797612523,KEGG_2019_Human
0.55,5,Vitamin digestion and absorption,"SCARB1, SLC46A1",0.31923130936217414,KEGG_2019_Human
0.55,2,MAPK signaling pathway,"NTRK2, CACNB2, FGF9, IGF1, MAPK8IP3, DUSP6",0.3328770615533252,KEGG_2019_Human
0.55,4,Breast cancer,"CDKN1A, FGF9, IGF1, ESR2",0.3380044054290887,KEGG_2019_Human
0.55,3,Melanoma,"CDKN1A, FGF9, IGF1",0.43124128816719165,KEGG_2019_Human
0.55,11,Hepatitis C,"SCARB1, CDKN1A, TLR3",0.9203632787582311,KEGG_2019_Human
0.55,16,Taurine and hypotaurine metabolism,BAAT,0.931945435889827,KEGG_2019_Human
0.55,17,Transcriptional misregulation in cancer,"CDKN1A, IGF1, DUSP6",0.936043978404217,KEGG_2019_Human
0.55,18,Hypertrophic cardiomyopathy (HCM),"CACNB2, IGF1",0.9618442029452203,KEGG_2019_Human
0.55,10,Oxytocin signaling pathway,"KCNJ5, CACNB2, CDKN1A",0.9796616936759529,KEGG_2019_Human
0.55,7,Caffeine metabolism,CYP2A6,0.9812202054339252,KEGG_2019_Human
0.55,14,Glioma,"CDKN1A, IGF1",0.9891576614252041,KEGG_2019_Human
0.55,13,p53 signaling pathway,"CDKN1A, IGF1",0.9896536923583883,KEGG_2019_Human
0.55,15,Synaptic vesicle cycle,"UNC13A, SLC6A9",0.9905205115411593,KEGG_2019_Human
0.55,6,Ovarian steroidogenesis,"SCARB1, IGF1",1.0,KEGG_2019_Human
0.55,21,Primary bile acid biosynthesis,BAAT,1.0,KEGG_2019_Human
0.55,8,Long-term depression,"GRID2, IGF1",1.0,KEGG_2019_Human
0.55,12,Bile secretion,"SCARB1, BAAT",1.0,KEGG_2019_Human
0.55,28,Biosynthesis of unsaturated fatty acids,BAAT,1.0,KEGG_2019_Human
0.55,9,Phagosome,"SCARB1, SFTPA1, TUBA4A",1.0,KEGG_2019_Human
0.6,7,Breast cancer,"CDKN1A, FGF9, IGF1, ESR2",0.2801879756298561,KEGG_2019_Human
0.6,2,Ovarian steroidogenesis,"SCARB1, LHCGR, IGF1",0.2912462036134332,KEGG_2019_Human
0.6,6,Vitamin digestion and absorption,"SCARB1, SLC46A1",0.3264054311858569,KEGG_2019_Human
0.6,4,Aminoacyl-tRNA biosynthesis,"CARS, YARS, GARS",0.34019766062895107,KEGG_2019_Human
0.6,5,Melanoma,"CDKN1A, FGF9, IGF1",0.3471426414286144,KEGG_2019_Human
0.6,3,MAPK signaling pathway,"CACNB2, NTRK2, FGF9, IGF1, MAPK8IP3, DUSP6",0.3761202667130457,KEGG_2019_Human
0.6,1,Aldosterone synthesis and secretion,"SCARB1, LIPE, KCNJ5, KCNK9",0.4568543903703336,KEGG_2019_Human
0.6,8,Caffeine metabolism,CYP2A6,0.9530108556543047,KEGG_2019_Human
0.6,17,Glioma,"CDKN1A, IGF1",0.9831883551304579,KEGG_2019_Human
0.6,18,Synaptic vesicle cycle,"UNC13A, SLC6A9",0.9953218610518265,KEGG_2019_Human
0.6,16,Taurine and hypotaurine metabolism,BAAT,1.0,KEGG_2019_Human
0.6,22,Primary bile acid biosynthesis,BAAT,1.0,KEGG_2019_Human
0.6,9,Long-term depression,"GRID2, IGF1",1.0,KEGG_2019_Human
0.6,13,Prolactin signaling pathway,"LHCGR, ESR2",1.0,KEGG_2019_Human
0.6,14,Bile secretion,"SCARB1, BAAT",1.0,KEGG_2019_Human
0.6,15,p53 signaling pathway,"CDKN1A, IGF1",1.0,KEGG_2019_Human
0.6,30,Biosynthesis of unsaturated fatty acids,BAAT,1.0,KEGG_2019_Human
0.6,20,Hypertrophic cardiomyopathy (HCM),"CACNB2, IGF1",1.0,KEGG_2019_Human
0.6,10,Phagosome,"SCARB1, SFTPA1, TUBA4A",1.0,KEGG_2019_Human
0.6,11,Oxytocin signaling pathway,"CACNB2, KCNJ5, CDKN1A",1.0,KEGG_2019_Human
0.65,8,Melanoma,"CDKN1A, FGF9, IGF1",0.3342100240951879,KEGG_2019_Human
0.65,9,Breast cancer,"CDKN1A, FGF9, IGF1, ESR2",0.3745546105344453,KEGG_2019_Human
0.65,7,Bile secretion,"SCARB1, BAAT, CYP7A1",0.3819543132516433,KEGG_2019_Human
0.65,6,Vitamin digestion and absorption,"SCARB1, SLC46A1",0.44195888073205,KEGG_2019_Human
0.65,3,Primary bile acid biosynthesis,"BAAT, CYP7A1",0.4473250462726302,KEGG_2019_Human
0.65,2,Ovarian steroidogenesis,"SCARB1, LHCGR, IGF1",0.45509124150927266,KEGG_2019_Human
0.65,5,MAPK signaling pathway,"CACNB2, NTRK2, FGF9, IGF1, MAPK8IP3, DUSP6",0.48167254435820517,KEGG_2019_Human
0.65,4,Aminoacyl-tRNA biosynthesis,"CARS, YARS, GARS",0.5259861426701817,KEGG_2019_Human
0.65,1,Aldosterone synthesis and secretion,"SCARB1, LIPE, KCNJ5, KCNK9",0.8108380171932509,KEGG_2019_Human
0.65,10,Caffeine metabolism,CYP2A6,0.8905033419064843,KEGG_2019_Human
0.65,11,Cholesterol metabolism,"SCARB1, CYP7A1",0.9697823091891556,KEGG_2019_Human
0.65,16,Taurine and hypotaurine metabolism,BAAT,1.0,KEGG_2019_Human
0.65,12,Long-term depression,"GRID2, IGF1",1.0,KEGG_2019_Human
0.65,13,Central carbon metabolism in cancer,"SCO2, IDH1",1.0,KEGG_2019_Human
0.65,18,Prolactin signaling pathway,"LHCGR, ESR2",1.0,KEGG_2019_Human
0.65,19,p53 signaling pathway,"CDKN1A, IGF1",1.0,KEGG_2019_Human
0.65,29,Biosynthesis of unsaturated fatty acids,BAAT,1.0,KEGG_2019_Human
0.65,20,Glioma,"CDKN1A, IGF1",1.0,KEGG_2019_Human
0.65,21,Synaptic vesicle cycle,"UNC13A, SLC6A9",1.0,KEGG_2019_Human
0.65,34,Citrate cycle (TCA cycle),IDH1,1.0,KEGG_2019_Human
0.7,5,Primary bile acid biosynthesis,"BAAT, CYP7A1",0.41264254681242185,KEGG_2019_Human
0.7,4,Cholesterol metabolism,"SCARB1, PCSK9, CYP7A1",0.4475662992341714,KEGG_2019_Human
0.7,7,Vitamin digestion and absorption,"SCARB1, SLC46A1",0.5785478632482894,KEGG_2019_Human
0.7,1,Bile secretion,"SCARB1, SLC10A2, BAAT, CYP7A1",0.587756322462971,KEGG_2019_Human
0.7,3,Aldosterone synthesis and secretion,"SCARB1, LIPE, KCNJ5, KCNK9",0.5946938066507177,KEGG_2019_Human
0.7,8,Melanoma,"CDKN1A, FGF9, IGF1",0.6063429602358404,KEGG_2019_Human
