AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,neuropathy,"CTDP1, GJB3, C10ORF2",0.005197129336245182,OMIM_Disease
0.5,3,mental retardation,"KCNK9, IGF1",0.7494216159373285,OMIM_Disease
0.5,7,obesity,NTRK2,0.8304581132963377,OMIM_Disease
0.5,5,parkinson disease,GIGYF2,0.8328757312386328,OMIM_Disease
0.5,6,charcot-marie-tooth disease,YARS,0.8473748776371091,OMIM_Disease
0.5,8,spinocerebellar ataxia,C10ORF2,0.8618995354983262,OMIM_Disease
0.5,4,lateral sclerosis,ANG,0.9019480463332701,OMIM_Disease
0.5,9,cataract,CTDP1,0.9631558007335804,OMIM_Disease
0.5,2,deafness,"GJB3, IGF1",1.0,OMIM_Disease
0.55,1,neuropathy,"CTDP1, GJB3, C10ORF2",0.04676661356135345,OMIM_Disease
0.55,3,cataract,"CTDP1, SORD",0.5695651684476629,OMIM_Disease
0.55,2,mental retardation,"KCNK9, UBE2A, IGF1",0.66589218459392,OMIM_Disease
0.55,11,asthma,IRAK3,0.8066113194132115,OMIM_Disease
0.55,14,obesity,NTRK2,0.8393906309542086,OMIM_Disease
0.55,10,lymphoma,MALT1,0.8505596484860865,OMIM_Disease
0.55,12,charcot-marie-tooth disease,YARS,0.860412720351187,OMIM_Disease
0.55,13,schizophrenia,APOL1,0.8767096560126135,OMIM_Disease
0.55,15,spinocerebellar ataxia,C10ORF2,0.9229343897416163,OMIM_Disease
0.55,9,parkinson disease,GIGYF2,0.9450662760956516,OMIM_Disease
0.55,4,fibrosis,SFTPA1,1.0,OMIM_Disease
0.55,5,macular degeneration,TLR3,1.0,OMIM_Disease
0.55,6,lateral sclerosis,ANG,1.0,OMIM_Disease
0.55,8,lung cancer,CYP2A6,1.0,OMIM_Disease
0.55,7,deafness,"GJB3, IGF1",1.0,OMIM_Disease
0.55,16,retinitis pigmentosa,PRCD,1.0,OMIM_Disease
0.6,1,neuropathy,"CTDP1, GJB3, C10ORF2, GARS",0.002461203430113235,OMIM_Disease
0.6,2,charcot-marie-tooth disease,"YARS, GARS",0.36036479297653,OMIM_Disease
0.6,5,cataract,"CTDP1, SORD",0.4161700371087128,OMIM_Disease
0.6,4,mental retardation,"KCNK9, UBE2A, IGF1",0.4399696379816746,OMIM_Disease
0.6,3,deafness,"GJB3, IGF1, DFNA5",0.5469383860899528,OMIM_Disease
0.6,14,asthma,IRAK3,0.7003754860887826,OMIM_Disease
0.6,13,lymphoma,MALT1,0.7232171387476506,OMIM_Disease
0.6,12,parkinson disease,GIGYF2,0.7834852336432881,OMIM_Disease
0.6,16,obesity,NTRK2,0.8100982771948756,OMIM_Disease
0.6,8,hypogonadism,LHCGR,0.8151213732255432,OMIM_Disease
0.6,11,lung cancer,CYP2A6,0.8178526966295437,OMIM_Disease
0.6,10,lateral sclerosis,ANG,0.8179426308256185,OMIM_Disease
0.6,15,schizophrenia,APOL1,0.8382573835130511,OMIM_Disease
0.6,9,macular degeneration,TLR3,0.8630995715059276,OMIM_Disease
0.6,7,adenoma,LHCGR,0.8715976993084127,OMIM_Disease
0.6,6,fibrosis,SFTPA1,0.8758883787011872,OMIM_Disease
0.6,17,spinocerebellar ataxia,C10ORF2,0.8969297674241945,OMIM_Disease
0.6,18,retinitis pigmentosa,PRCD,1.0,OMIM_Disease
0.65,1,neuropathy,"CTDP1, GJB3, C10ORF2, GARS",0.004556294950911472,OMIM_Disease
0.65,2,lateral sclerosis,"ANG, NEFH",0.24465312391803595,OMIM_Disease
0.65,4,obesity,"PCSK1, NTRK2",0.31780729726078644,OMIM_Disease
0.65,3,charcot-marie-tooth disease,"YARS, GARS",0.32475014117881157,OMIM_Disease
0.65,7,cataract,"CTDP1, SORD",0.3974202637427498,OMIM_Disease
0.65,6,mental retardation,"KCNK9, UBE2A, IGF1",0.44039124839874927,OMIM_Disease
