AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,neuropathy,"CTDP1, GJB3, C10ORF2",0.3351650714098051,OMIM_Expanded
0.5,2,deafness,"GJB3, IGF1",1.0,OMIM_Expanded
0.5,3,mental retardation,"KCNK9, IGF1",1.0,OMIM_Expanded
0.5,4,ataxia,C10ORF2,1.0,OMIM_Expanded
0.5,5,polydactyly,LMBR1,1.0,OMIM_Expanded
0.5,6,lateral sclerosis,ANG,1.0,OMIM_Expanded
0.5,7,parkinson disease,GIGYF2,1.0,OMIM_Expanded
0.5,8,charcot-marie-tooth disease,YARS,1.0,OMIM_Expanded
0.5,9,obesity,NTRK2,1.0,OMIM_Expanded
0.5,10,spinocerebellar ataxia,C10ORF2,1.0,OMIM_Expanded
0.55,1,neuropathy,"CTDP1, GJB3, C10ORF2",1.0,OMIM_Expanded
0.55,2,mental retardation,"KCNK9, UBE2A, IGF1",1.0,OMIM_Expanded
0.55,3,deafness,"GJB3, IGF1",1.0,OMIM_Expanded
0.55,4,cataract,"CTDP1, SORD",1.0,OMIM_Expanded
0.55,5,retinitis pigmentosa,PRCD,1.0,OMIM_Expanded
0.55,6,ataxia,C10ORF2,1.0,OMIM_Expanded
0.55,7,aids,KIR3DL1,1.0,OMIM_Expanded
0.55,8,polydactyly,LMBR1,1.0,OMIM_Expanded
0.55,9,spinal muscular atrophy,SMN1,1.0,OMIM_Expanded
0.55,10,complex i,NDUFA1,1.0,OMIM_Expanded
0.55,11,fibrosis,SFTPA1,1.0,OMIM_Expanded
0.55,12,macular degeneration,TLR3,1.0,OMIM_Expanded
0.55,13,lateral sclerosis,ANG,1.0,OMIM_Expanded
0.55,14,lung cancer,CYP2A6,1.0,OMIM_Expanded
0.55,15,asthma,IRAK3,1.0,OMIM_Expanded
0.55,16,lymphoma,MALT1,1.0,OMIM_Expanded
0.55,17,parkinson disease,GIGYF2,1.0,OMIM_Expanded
0.55,18,charcot-marie-tooth disease,YARS,1.0,OMIM_Expanded
0.55,19,schizophrenia,APOL1,1.0,OMIM_Expanded
0.55,20,obesity,NTRK2,1.0,OMIM_Expanded
0.6,1,neuropathy,"LHCGR, CTDP1, GJB3, C10ORF2, GARS",0.046427901836376455,OMIM_Expanded
0.6,165,orofacial cleft,LHCGR,0.43369330799816685,OMIM_Expanded
0.6,164,microphthalmia,LHCGR,0.43633777938839957,OMIM_Expanded
0.6,163,disorder of glycosylation,LHCGR,0.43901469828035294,OMIM_Expanded
0.6,160,ichthyosis,LHCGR,0.4399419503854304,OMIM_Expanded
0.6,161,aneurysm,LHCGR,0.44084789261848295,OMIM_Expanded
0.6,162,autism,LHCGR,0.44172466555368844,OMIM_Expanded
0.6,158,thyroid carcinoma,LHCGR,0.4417847180021665,OMIM_Expanded
0.6,159,dystonia,LHCGR,0.44270888089099913,OMIM_Expanded
0.6,174,hypertension,LHCGR,0.4438570323679192,OMIM_Expanded
0.6,175,prostate cancer,LHCGR,0.4444736647277163,OMIM_Expanded
0.6,157,myocardial infarction,LHCGR,0.4445986334034542,OMIM_Expanded
0.6,166,inflammatory bowel disease,LHCGR,0.4449523294756436,OMIM_Expanded
0.6,177,spastic paraplegia,LHCGR,0.44563956174610875,OMIM_Expanded
0.6,167,stature,LHCGR,0.445692322563826,OMIM_Expanded
0.6,172,systemic lupus erythematosus,LHCGR,0.4457941650957255,OMIM_Expanded
0.6,178,"cardiomyopathy, dilated",LHCGR,0.44618973488092106,OMIM_Expanded
0.6,173,"diabetes mellitus, type 2",LHCGR,0.4464226799538609,OMIM_Expanded
0.6,179,colorectal cancer,LHCGR,0.4467186460853385,OMIM_Expanded
0.6,169,"diabetes mellitus, type 1",LHCGR,0.4470959089152996,OMIM_Expanded
0.65,1,neuropathy,"LHCGR, CTDP1, GJB3, C10ORF2, GARS",0.09583398697919145,OMIM_Expanded
0.65,166,orofacial cleft,LHCGR,0.4859848716595088,OMIM_Expanded
0.65,165,microphthalmia,LHCGR,0.48893023451805134,OMIM_Expanded
0.65,164,disorder of glycosylation,LHCGR,0.4919115164358443,OMIM_Expanded
0.65,160,thyroid carcinoma,LHCGR,0.49235245872792655,OMIM_Expanded
0.65,161,ichthyosis,LHCGR,0.49324508044258597,OMIM_Expanded
0.65,162,aneurysm,LHCGR,0.4941038019843699,OMIM_Expanded
0.65,163,autism,LHCGR,0.4949293784998679,OMIM_Expanded
0.65,159,myocardial infarction,LHCGR,0.49544901507212735,OMIM_Expanded
0.65,175,hypertension,LHCGR,0.4957837478626892,OMIM_Expanded
0.65,176,prostate cancer,LHCGR,0.4963163092746999,OMIM_Expanded
0.65,178,spastic paraplegia,LHCGR,0.4973056554394894,OMIM_Expanded
