AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,4,Tinnitus,"CACNB2, TRPC6",0.21895238257021443,PheWeb_2019
0.5,3,Viral hepatitis,"NTRK2, IGF1",0.23281774197600433,PheWeb_2019
0.5,8,"Macular degeneration, wet","NTRK2, GFM2",0.239048811671907,PheWeb_2019
0.5,5,Benign neoplasm of breast,"NTRK2, SCARB1",0.257747856981832,PheWeb_2019
0.5,7,Other acquired deformities of limbs,"NTRK2, DPP6",0.2731986419107509,PheWeb_2019
0.5,6,Otitis externa,"NTRK2, TGDS",0.27478978651631253,PheWeb_2019
0.5,1,"Pain, swelling or discharge of eye","DPP6, CTDP1",0.2847847680309412,PheWeb_2019
0.5,2,Acne,"ARHGAP31, NRXN3",0.3492266129640065,PheWeb_2019
0.5,10,Acquired toe deformities,"NTRK2, IGF1",0.4075789638251262,PheWeb_2019
0.5,9,Acute pharyngitis,"NRXN3, MAPK8IP3",0.43136096715391276,PheWeb_2019
0.5,83,Osteoarthrosis NOS,GIGYF2,0.8752638338087457,PheWeb_2019
0.5,82,Anal and rectal conditions,DPP6,0.8859377830015354,PheWeb_2019
0.5,81,Primary/intrinsic cardiomyopathies,CACNB2,0.8968752864953814,PheWeb_2019
0.5,78,Hallux rigidus,CACNB2,0.9012626900156412,PheWeb_2019
0.5,70,Known or suspected fetal abnormality affecting management of mother,DPP6,0.9031932748595163,PheWeb_2019
0.5,80,Dysmenorrhea,KCNK9,0.9080862275765738,PheWeb_2019
0.5,72,"Cancer of larynx, pharynx, nasal cavities",DPP6,0.9109279934598923,PheWeb_2019
0.5,77,Other nonmalignant breast conditions,NRXN3,0.9129674002755847,PheWeb_2019
0.5,69,Intestinal infection due to C. difficile,CD96,0.9162830324661759,PheWeb_2019
0.5,74,Cancer of other male genital organs,NRXN3,0.9181774637434614,PheWeb_2019
0.55,5,Viral hepatitis,"NTRK2, IGF1",0.6051920644769051,PheWeb_2019
0.55,6,Tinnitus,"CACNB2, TRPC6",0.6304214807871896,PheWeb_2019
0.55,12,Nontoxic multinodular goiter,"GRID2, CPA6",0.6787274276973424,PheWeb_2019
0.55,13,Anal and rectal conditions,"DPP6, GRID2",0.71680620974113,PheWeb_2019
0.55,11,"Macular degeneration, wet","NTRK2, GFM2",0.7404299211243736,PheWeb_2019
0.55,4,Acne,"ARHGAP31, NRXN3",0.7564900805961313,PheWeb_2019
0.55,3,Cholesterolosis of gallbladder,"KCNK9, TBX18",0.7833072691152787,PheWeb_2019
0.55,7,Benign neoplasm of breast,"NTRK2, SCARB1",0.7902003207379702,PheWeb_2019
0.55,10,Other acquired deformities of limbs,"NTRK2, DPP6",0.8144729132368109,PheWeb_2019
0.55,9,Macular puckering of retina,"KCNK9, NLRP7",0.8427807059606977,PheWeb_2019
0.55,8,Otitis externa,"NTRK2, TGDS",0.8804585314752893,PheWeb_2019
0.55,1,"Pain, swelling or discharge of eye","DPP6, CTDP1",1.0,PheWeb_2019
0.55,2,Acquired hemolytic anemias,"DPP6, ROBO1",1.0,PheWeb_2019
0.55,16,"Other congenital anomalies of lower limb, including pelvic girdle",DPP6,1.0,PheWeb_2019
0.55,17,Hypothermia/Chills,FGF9,1.0,PheWeb_2019
0.55,18,Autoimmune disease NEC,FGF9,1.0,PheWeb_2019
0.55,19,Megaloblastic anemia,SLFN14,1.0,PheWeb_2019
0.55,20,Digestive congenital anomalies,KCNE3,1.0,PheWeb_2019
0.55,21,Myoneural disorders,ROBO1,1.0,PheWeb_2019
0.55,22,Cysts of the jaws,DPP6,1.0,PheWeb_2019
0.6,5,Viral hepatitis,"NTRK2, IGF1",0.7442679546261621,PheWeb_2019
0.6,13,Nontoxic multinodular goiter,"GRID2, CPA6",0.7677074518460151,PheWeb_2019
0.6,6,Tinnitus,"CACNB2, TRPC6",0.7747828311084458,PheWeb_2019
0.6,7,Phlebitis and thrombophlebitis,"SCN10A, KCNK9",0.8102763724150968,PheWeb_2019
0.6,14,Anal and rectal conditions,"DPP6, GRID2",0.8150699178460343,PheWeb_2019
0.6,12,"Macular degeneration, wet","NTRK2, GFM2",0.831683072833183,PheWeb_2019
0.6,8,Benign neoplasm of breast,"NTRK2, SCARB1",0.8486357932980377,PheWeb_2019
0.6,11,Other acquired deformities of limbs,"NTRK2, DPP6",0.9072906249089269,PheWeb_2019
0.6,10,Macular puckering of retina,"KCNK9, NLRP7",0.9297411658794476,PheWeb_2019
0.6,4,Acne,"ARHGAP31, NRXN3",0.9303349432827027,PheWeb_2019
0.6,9,Otitis externa,"NTRK2, TGDS",0.9596303277325089,PheWeb_2019
0.6,3,Cholesterolosis of gallbladder,"KCNK9, TBX18",0.9639528761156185,PheWeb_2019
0.6,1,"Pain, swelling or discharge of eye","DPP6, CTDP1",1.0,PheWeb_2019
0.6,2,Acquired hemolytic anemias,"DPP6, ROBO1",1.0,PheWeb_2019
0.6,17,"Other congenital anomalies of lower limb, including pelvic girdle",DPP6,1.0,PheWeb_2019
0.6,18,Hypothermia/Chills,FGF9,1.0,PheWeb_2019
0.6,19,Autoimmune disease NEC,FGF9,1.0,PheWeb_2019
0.6,20,Megaloblastic anemia,SLFN14,1.0,PheWeb_2019
0.6,21,Digestive congenital anomalies,KCNE3,1.0,PheWeb_2019
0.6,22,Myoneural disorders,ROBO1,1.0,PheWeb_2019
0.65,15,Nontoxic multinodular goiter,"GRID2, CPA6",0.8988856772882694,PheWeb_2019
0.65,7,Tinnitus,"CACNB2, TRPC6",0.9017215138693324,PheWeb_2019
0.65,6,Acquired foot deformities,"GRID2, TGM6",0.9448666635792248,PheWeb_2019
0.65,8,Phlebitis and thrombophlebitis,"SCN10A, KCNK9",0.9615987978114986,PheWeb_2019
0.65,16,Anal and rectal conditions,"DPP6, GRID2",0.9624471727741096,PheWeb_2019
0.65,14,"Macular degeneration, wet","NTRK2, GFM2",0.9630917970945744,PheWeb_2019
0.65,1,"Pain, swelling or discharge of eye","DPP6, CTDP1",1.0,PheWeb_2019
0.65,2,Acquired hemolytic anemias,"DPP6, ROBO1",1.0,PheWeb_2019
0.65,3,Cholesterolosis of gallbladder,"KCNK9, TBX18",1.0,PheWeb_2019
0.65,4,Acne,"ARHGAP31, NRXN3",1.0,PheWeb_2019
0.65,5,Viral hepatitis,"NTRK2, IGF1",1.0,PheWeb_2019
0.65,20,"Other congenital anomalies of lower limb, including pelvic girdle",DPP6,1.0,PheWeb_2019
0.65,21,Hypothermia/Chills,FGF9,1.0,PheWeb_2019
0.65,9,Benign neoplasm of breast,"NTRK2, SCARB1",1.0,PheWeb_2019
0.65,10,Otitis externa,"NTRK2, TGDS",1.0,PheWeb_2019
0.65,11,Macular puckering of retina,"KCNK9, NLRP7",1.0,PheWeb_2019
0.65,12,Extrapyramidal disease and abnormal movement disorders,"PCSK1, CT47B1",1.0,PheWeb_2019
0.65,13,Other acquired deformities of limbs,"NTRK2, DPP6",1.0,PheWeb_2019
0.65,22,Autoimmune disease NEC,FGF9,1.0,PheWeb_2019
0.65,23,Megaloblastic anemia,SLFN14,1.0,PheWeb_2019
0.7,10,Tinnitus,"CACNB2, TRPC6",0.9685911531613142,PheWeb_2019
0.7,11,Malignant neoplasm of renal pelvis,"SLC10A2, DUSP6",0.9737242390369825,PheWeb_2019
0.7,21,Other acquired deformities of limbs,"NTRK2, DPP6",0.9768687941776797,PheWeb_2019
0.7,12,Phlebitis and thrombophlebitis,"SCN10A, KCNK9",0.9818496436078927,PheWeb_2019
0.7,1,Autoimmune disease NEC,"FGF9, CLASP1",1.0,PheWeb_2019
0.7,2,"Pain, swelling or discharge of eye","DPP6, CTDP1",1.0,PheWeb_2019
0.7,3,Acquired hemolytic anemias,"DPP6, ROBO1",1.0,PheWeb_2019
0.7,4,Cholesterolosis of gallbladder,"KCNK9, TBX18",1.0,PheWeb_2019
0.7,5,Acne,"ARHGAP31, NRXN3",1.0,PheWeb_2019
0.7,6,Viral hepatitis,"NTRK2, IGF1",1.0,PheWeb_2019
0.7,7,Acquired foot deformities,"GRID2, TGM6",1.0,PheWeb_2019
0.7,8,Torsion dystonia,"KCNJ5, SLC10A2",1.0,PheWeb_2019
0.7,28,Hypothermia/Chills,FGF9,1.0,PheWeb_2019
0.7,29,"Other congenital anomalies of lower limb, including pelvic girdle",DPP6,1.0,PheWeb_2019
0.7,9,Abdominal hernia,"SCARB1, KCNQ5",1.0,PheWeb_2019
0.7,13,Benign neoplasm of breast,"NTRK2, SCARB1",1.0,PheWeb_2019
0.7,14,Cancer of urinary organs (incl. kidney and bladder),"FGF9, SLC10A2",1.0,PheWeb_2019
0.7,15,Intestinal infection due to C. difficile,"CD96, SLC10A2",1.0,PheWeb_2019
0.7,16,Otitis externa,"NTRK2, TGDS",1.0,PheWeb_2019
0.7,17,Macular puckering of retina,"KCNK9, NLRP7",1.0,PheWeb_2019
0.75,1,Tinnitus,"CACNB2, TRPC6, AGBL1",1.0,PheWeb_2019
0.75,2,Autoimmune disease NEC,"FGF9, CLASP1",1.0,PheWeb_2019
0.75,5,"Pain, swelling or discharge of eye","DPP6, CTDP1",1.0,PheWeb_2019
0.75,6,Circadian rhythm sleep disorder,"CYP26B1, ABCA13",1.0,PheWeb_2019
