AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,2,BDNF-TrkB Signaling WP3676,"NTRK2, TRPC6",0.5722397987875586,WikiPathways_2019_Human
0.5,3,Breast cancer pathway WP4262,"FGF9, IGF1, ESR2",0.6937485744083792,WikiPathways_2019_Human
0.5,1,MAPK Signaling Pathway WP382,"NTRK2, CACNB2, FGF9, MAPK8IP3",0.8928769913011705,WikiPathways_2019_Human
0.5,5,HIF1A and PPARG regulation of glycolysis WP2456,GPD1,1.0,WikiPathways_2019_Human
0.5,6,Caloric restriction and aging WP4191,IGF1,1.0,WikiPathways_2019_Human
0.5,7,Genes targeted by miRNAs in adipocytes WP1992,IGF1,1.0,WikiPathways_2019_Human
0.5,8,Disorders of Folate Metabolism and Transport WP4259,SLC46A1,1.0,WikiPathways_2019_Human
0.5,9,ERK Pathway in Huntington's Disease WP3853,NTRK2,1.0,WikiPathways_2019_Human
0.5,10,Oxysterols derived from cholesterol WP4545,ESR2,1.0,WikiPathways_2019_Human
0.5,11,"Metabolic pathway of LDL, HDL and TG, including diseases WP4522",SCARB1,1.0,WikiPathways_2019_Human
0.5,13,Extracellular vesicles in the crosstalk of cardiac cells WP4300,IGF1,1.0,WikiPathways_2019_Human
0.5,15,Nicotine Activity on Dopaminergic Neurons WP1602,KCNK9,1.0,WikiPathways_2019_Human
0.5,16,Glycerophospholipid Biosynthetic Pathway WP2533,GPD1,1.0,WikiPathways_2019_Human
0.5,4,Folate Metabolism WP176,"SCARB1, SLC46A1",1.0,WikiPathways_2019_Human
0.5,18,Triacylglyceride Synthesis WP325,GPD1,1.0,WikiPathways_2019_Human
0.5,19,Sphingolipid pathway WP1422,SPTLC2,1.0,WikiPathways_2019_Human
0.5,20,Statin Pathway WP430,SCARB1,1.0,WikiPathways_2019_Human
0.5,21,"Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS WP4304",IGF1,1.0,WikiPathways_2019_Human
0.5,22,Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850,IGF1,1.0,WikiPathways_2019_Human
0.5,23,Ovarian Infertility Genes WP34,ESR2,1.0,WikiPathways_2019_Human
0.55,3,Triacylglyceride Synthesis WP325,"LIPE, GPD1",0.8153526949077174,WikiPathways_2019_Human
0.55,7,miR-517 relationship with ARCN1 and USP1 WP3596,CDKN1A,1.0,WikiPathways_2019_Human
0.55,8,Nicotine Metabolism WP1600,CYP2A6,1.0,WikiPathways_2019_Human
0.55,9,LncRNA-mediated mechanisms of therapeutic resistance WP3672,CDKN1A,1.0,WikiPathways_2019_Human
0.55,11,Caloric restriction and aging WP4191,IGF1,1.0,WikiPathways_2019_Human
0.55,12,HIF1A and PPARG regulation of glycolysis WP2456,GPD1,1.0,WikiPathways_2019_Human
0.55,15,Methylation Pathways WP704,TPMT,1.0,WikiPathways_2019_Human
0.55,4,BDNF-TrkB Signaling WP3676,"NTRK2, TRPC6",1.0,WikiPathways_2019_Human
0.55,19,Disorders of Folate Metabolism and Transport WP4259,SLC46A1,1.0,WikiPathways_2019_Human
0.55,20,Genes targeted by miRNAs in adipocytes WP1992,IGF1,1.0,WikiPathways_2019_Human
0.55,21,Valproic acid pathway WP3871,CYP2A6,1.0,WikiPathways_2019_Human
0.55,5,Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433,"NLRP7, NLRP1",1.0,WikiPathways_2019_Human
0.55,23,ERK Pathway in Huntington's Disease WP3853,NTRK2,1.0,WikiPathways_2019_Human
0.55,24,Oxysterols derived from cholesterol WP4545,ESR2,1.0,WikiPathways_2019_Human
0.55,25,Fatty Acid Omega Oxidation WP206,CYP2A6,1.0,WikiPathways_2019_Human
0.55,26,GPR40 Pathway WP3958,PLCD1,1.0,WikiPathways_2019_Human
0.55,27,miRNAs involved in DNA damage response WP1545,CDKN1A,1.0,WikiPathways_2019_Human
0.55,29,"Metabolic pathway of LDL, HDL and TG, including diseases WP4522",SCARB1,1.0,WikiPathways_2019_Human
0.55,31,Drug Induction of Bile Acid Pathway WP2289,BAAT,1.0,WikiPathways_2019_Human
0.55,2,Breast cancer pathway WP4262,"CDKN1A, FGF9, IGF1, ESR2",1.0,WikiPathways_2019_Human
0.6,7,miR-517 relationship with ARCN1 and USP1 WP3596,CDKN1A,1.0,WikiPathways_2019_Human
0.6,10,Nicotine Metabolism WP1600,CYP2A6,1.0,WikiPathways_2019_Human
0.6,11,LncRNA-mediated mechanisms of therapeutic resistance WP3672,CDKN1A,1.0,WikiPathways_2019_Human
0.6,1,Triacylglyceride Synthesis WP325,"LIPE, GPD1",1.0,WikiPathways_2019_Human
0.6,12,Caloric restriction and aging WP4191,IGF1,1.0,WikiPathways_2019_Human
0.6,13,HIF1A and PPARG regulation of glycolysis WP2456,GPD1,1.0,WikiPathways_2019_Human
0.6,16,Methylation Pathways WP704,TPMT,1.0,WikiPathways_2019_Human
0.6,4,Ovarian Infertility Genes WP34,"LHCGR, ESR2",1.0,WikiPathways_2019_Human
0.6,5,BDNF-TrkB Signaling WP3676,"NTRK2, TRPC6",1.0,WikiPathways_2019_Human
0.6,19,Disorders of Folate Metabolism and Transport WP4259,SLC46A1,1.0,WikiPathways_2019_Human
0.6,20,Genes targeted by miRNAs in adipocytes WP1992,IGF1,1.0,WikiPathways_2019_Human
0.6,21,Valproic acid pathway WP3871,CYP2A6,1.0,WikiPathways_2019_Human
0.6,22,Vitamin B12 Disorders WP4271,MUT,1.0,WikiPathways_2019_Human
0.6,6,Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433,"NLRP7, NLRP1",1.0,WikiPathways_2019_Human
0.6,25,ERK Pathway in Huntington's Disease WP3853,NTRK2,1.0,WikiPathways_2019_Human
0.6,26,Oxysterols derived from cholesterol WP4545,ESR2,1.0,WikiPathways_2019_Human
0.6,27,Fatty Acid Omega Oxidation WP206,CYP2A6,1.0,WikiPathways_2019_Human
0.6,28,GPR40 Pathway WP3958,PLCD1,1.0,WikiPathways_2019_Human
0.6,29,miRNAs involved in DNA damage response WP1545,CDKN1A,1.0,WikiPathways_2019_Human
0.6,31,"Metabolic pathway of LDL, HDL and TG, including diseases WP4522",SCARB1,1.0,WikiPathways_2019_Human
0.65,3,Farnesoid X Receptor  Pathway WP2879,"BAAT, CYP7A1",0.8553798110319479,WikiPathways_2019_Human
0.65,9,BDNF-TrkB Signaling WP3676,"NTRK2, TRPC6",0.8835970403581778,WikiPathways_2019_Human
0.65,8,Ovarian Infertility Genes WP34,"LHCGR, ESR2",0.8855555845107572,WikiPathways_2019_Human
0.65,1,Oxysterols derived from cholesterol WP4545,"CYP7A1, ESR2",1.0,WikiPathways_2019_Human
0.65,12,miR-517 relationship with ARCN1 and USP1 WP3596,CDKN1A,1.0,WikiPathways_2019_Human
0.65,2,Drug Induction of Bile Acid Pathway WP2289,"BAAT, CYP7A1",1.0,WikiPathways_2019_Human
0.65,13,Nicotine Metabolism WP1600,CYP2A6,1.0,WikiPathways_2019_Human
0.65,14,LncRNA-mediated mechanisms of therapeutic resistance WP3672,CDKN1A,1.0,WikiPathways_2019_Human
0.65,4,Triacylglyceride Synthesis WP325,"LIPE, GPD1",1.0,WikiPathways_2019_Human
0.65,17,Caloric restriction and aging WP4191,IGF1,1.0,WikiPathways_2019_Human
0.65,18,HIF1A and PPARG regulation of glycolysis WP2456,GPD1,1.0,WikiPathways_2019_Human
0.65,20,Cytosine methylation WP3585,IDH1,1.0,WikiPathways_2019_Human
0.65,21,Methylation Pathways WP704,TPMT,1.0,WikiPathways_2019_Human
0.65,5,Statin Pathway WP430,"SCARB1, CYP7A1",1.0,WikiPathways_2019_Human
0.65,23,Liver X Receptor Pathway WP2874,CYP7A1,1.0,WikiPathways_2019_Human
0.65,28,Bile Acids synthesis and enterohepatic circulation  WP4389,CYP7A1,1.0,WikiPathways_2019_Human
0.65,29,Disorders of Folate Metabolism and Transport WP4259,SLC46A1,1.0,WikiPathways_2019_Human
0.65,30,Genes targeted by miRNAs in adipocytes WP1992,IGF1,1.0,WikiPathways_2019_Human
0.65,31,Valproic acid pathway WP3871,CYP2A6,1.0,WikiPathways_2019_Human
0.65,32,Vitamin B12 Disorders WP4271,MUT,1.0,WikiPathways_2019_Human
0.7,9,Metapathway biotransformation Phase I and II WP702,"CYP2A6, CYP26B1, TPMT, BAAT, CYP7A1",0.5830145737727983,WikiPathways_2019_Human
0.7,8,Nicotine Activity on Dopaminergic Neurons WP1602,"CHRNB2, KCNK9",0.5987506870580431,WikiPathways_2019_Human
0.7,12,Adipogenesis WP236,"LIPE, CDKN1A, CYP26B1, IGF1",0.5996206650637667,WikiPathways_2019_Human
0.7,11,Glycosylation and related congenital defects. WP4521,"DOLK, MPDU1",0.6103582004486947,WikiPathways_2019_Human
0.7,10,Triacylglyceride Synthesis WP325,"LIPE, GPD1",0.6206240714845286,WikiPathways_2019_Human
0.7,5,Drug Induction of Bile Acid Pathway WP2289,"BAAT, CYP7A1",0.6323613055047503,WikiPathways_2019_Human
0.7,6,Farnesoid X Receptor  Pathway WP2879,"BAAT, CYP7A1",0.656294895624663,WikiPathways_2019_Human
0.7,7,Oxidation by Cytochrome P450 WP43,"CYP26B1, CYP2A6, CYP7A1",0.6790345936202258,WikiPathways_2019_Human
0.7,13,Statin Pathway WP430,"SCARB1, CYP7A1",0.6858003699887345,WikiPathways_2019_Human
0.7,4,"Metabolic pathway of LDL, HDL and TG, including diseases WP4522","SCARB1, PCSK9",0.7007942423638704,WikiPathways_2019_Human
0.7,14,Ovarian Infertility Genes WP34,"LHCGR, ESR2",0.7670091537160183,WikiPathways_2019_Human
0.7,16,Breast cancer pathway WP4262,"CDKN1A, FGF9, IGF1, ESR2",0.7813525316096587,WikiPathways_2019_Human
0.7,2,Bile Acids synthesis and enterohepatic circulation  WP4389,"SLC10A2, CYP7A1",0.7857538131686728,WikiPathways_2019_Human
0.7,15,BDNF-TrkB Signaling WP3676,"NTRK2, TRPC6",0.8020704668000784,WikiPathways_2019_Human
0.7,3,Oxysterols derived from cholesterol WP4545,"CYP7A1, ESR2",0.8215072138911587,WikiPathways_2019_Human
0.7,18,miR-517 relationship with ARCN1 and USP1 WP3596,CDKN1A,0.9433265646645422,WikiPathways_2019_Human
0.7,17,MAPK Signaling Pathway WP382,"CACNB2, NTRK2, FGF9, MAPK8IP3, DUSP6",0.9593170548773374,WikiPathways_2019_Human
0.7,21,LncRNA-mediated mechanisms of therapeutic resistance WP3672,CDKN1A,0.9667784011434174,WikiPathways_2019_Human
0.7,19,Vitamin A and Carotenoid Metabolism WP716,"SCARB1, CYP26B1",0.9769198538603511,WikiPathways_2019_Human
0.7,20,Nicotine Metabolism WP1600,CYP2A6,1.0,WikiPathways_2019_Human
0.75,1,"Metabolic pathway of LDL, HDL and TG, including diseases WP4522","SCARB1, PCSK9, LCAT, APOA1, APOE",0.0002337652189549382,WikiPathways_2019_Human
0.75,2,Statin Pathway WP430,"SCARB1, LCAT, APOA1, APOE, CYP7A1",0.0028420256708992994,WikiPathways_2019_Human
0.75,3,Composition of Lipid Particles WP3601,"APOA1, LCAT, APOE",0.014598967293440927,WikiPathways_2019_Human
0.75,5,Primary Focal Segmental Glomerulosclerosis FSGS WP2572,"CAMK2B, MYO1E, CDKN1A, TRPC6, COL4A3",0.0927831205902902,WikiPathways_2019_Human
0.75,4,Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433,"NLRP12, NLRP7, NLRC4, NLRP1",0.10597460968152073,WikiPathways_2019_Human
0.75,6,Vitamin B12 Metabolism WP1533,"SCARB1, APOA1, APOE, MUT",0.1492277821729929,WikiPathways_2019_Human
0.75,7,Bile Acids synthesis and enterohepatic circulation  WP4389,"SLC10A2, CYP7A1",0.459829319784812,WikiPathways_2019_Human
0.75,8,Oxysterols derived from cholesterol WP4545,"CYP7A1, ESR2",0.6269408764279959,WikiPathways_2019_Human
0.75,10,Drug Induction of Bile Acid Pathway WP2289,"BAAT, CYP7A1",0.6407128398095231,WikiPathways_2019_Human
0.75,15,Nicotine Activity on Dopaminergic Neurons WP1602,"CHRNB2, KCNK9",0.6416205602104751,WikiPathways_2019_Human
0.75,24,Sphingolipid pathway WP1422,"COL4A3BP, SPTLC2",0.6432257615503074,WikiPathways_2019_Human
0.75,9,Adipogenesis WP236,"LIPE, FOXC2, CDKN1A, CYP26B1, IGF1",0.6466279781556064,WikiPathways_2019_Human
0.75,21,Genotoxicity pathway WP4286,"CDKN1A, HIST1H1E, PPM1D",0.650461271858077,WikiPathways_2019_Human
0.75,22,PPAR Alpha Pathway WP2878,"APOA1, CYP7A1",0.6541872611901153,WikiPathways_2019_Human
0.75,14,Human Complement System WP2806,"C3, CFHR4, APOA1, SFTPA1",0.6567775397053193,WikiPathways_2019_Human
0.75,19,TYROBP Causal Network WP3945,"C3, MAF, KCNE3",0.6615390228484989,WikiPathways_2019_Human
