AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,Autosomal dominant inheritance (HP:0000006),"YARS, RTN2, KCNJ5, NTRK2, CEACAM16, KCNK9, MAPK8IP3, GIGYF2, KBTBD13, CACNB2, LMBR1, ARHGAP31, SPTLC2, FGF9, GJB3, MYH8, C10ORF2, NSMF, ANG, SPTAN1, TRPM4",3.156382710204921e-12,Human_Phenotype_Ontology
0.5,1,Intellectual Disability,"RTN2, CD96, SLC46A1, UNC13A, CTDP1, KCNK9, TGDS, TWNK, NRXN3, IGF1, AFF4, GIGYF2, KBTBD13, ARHGAP31, DPP6, SPTLC2, GJB3, MYH8, DCHS1, SPTAN1",0.00043706320904962956,DisGeNET
0.5,2,Short stature,"CD96, DPP6, CTDP1, TGDS, GJB3, GPD1, MYH8, NRXN3, WISP3, IGF1, AFF4",0.0018080198831246371,DisGeNET
0.5,1,Neurodegenerative disease,"YARS, RTN2, DPP6, C10ORF2, ANG, TUBA4A, GIGYF2",0.005007897586012479,Jensen_DISEASES
0.5,1,neuropathy,"CTDP1, GJB3, C10ORF2",0.005197129336245182,OMIM_Disease
0.55,1,Autosomal dominant inheritance (HP:0000006),"RTN2, KCNK9, KCNE3, KRT86, GIGYF2, KBTBD13, LMBR1, SPTLC2, FGF9, C10ORF2, NLRP1, SPTAN1, CPA6, TRPM4, YARS, KCNJ5, NTRK2, CEACAM16, PDYN, MAPK8IP3, CACNB2, ARHGAP31, CYP2A6, GJB3, MYH8, NSMF, ANG, PLCD1",8.394257764917542e-11,Human_Phenotype_Ontology
0.55,2,Autosomal recessive inheritance (HP:0000007),"CD96, SLC25A3, SLC46A1, CTDP1, TPMT, PRCD, NDUFA1, WISP3, HFE2, SNX10, IGF1, BAAT, MALT1, LMBR1, ARHGAP31, HINT1, NLRP7, GJB3, GPD1, C10ORF2, DCHS1, SMN1, CPA6, PLCD1",0.000345431730378385,Human_Phenotype_Ontology
0.55,1,Neurodegenerative disease,"RTN2, YARS, DPP6, GRID2, C10ORF2, ANG, SMN1, PDYN, TUBA4A, GIGYF2",0.001440182853948619,Jensen_DISEASES
0.55,1,Intellectual Disability,"RTN2, SLC46A1, CTDP1, KCNK9, PRCD, NRXN3, AFF4, GIGYF2, KBTBD13, HINT1, DPP6, SPTLC2, SPTAN1, CPA6, CD96, GRID2, UNC13A, BRF1, TGDS, TWNK, UBE2A, IGF1, PDYN, ARHGAP31, SLC6A9, GJB3, MYH8, DCHS1, HNRNPH2, RAB40AL",0.002308716865974328,DisGeNET
0.55,3,Abnormal EKG (HP:0003115),"KCNJ5, CACNB2, KCNE3, TRPM4",0.006518370697225842,Human_Phenotype_Ontology
0.6,1,Autosomal dominant inheritance (HP:0000006),"RTN2, KCNE3, KCNK9, KRT86, GIGYF2, KBTBD13, LMBR1, FGF9, SPTLC2, C10ORF2, NLRP1, CPA6, SPTAN1, TRPM4, YARS, KCNJ5, NTRK2, LHCGR, CEACAM16, PDYN, MAPK8IP3, CACNB2, ARHGAP31, SCN10A, CYP2A6, GJB3, MYH8, NSMF, GARS, ANG, PLCD1, DFNA5",5.189207479831878e-13,Human_Phenotype_Ontology
0.6,1,Neurodegenerative disease,"YARS, RTN2, DPP6, GRID2, C10ORF2, GARS, ANG, IKBKAP, SMN1, PDYN, TUBA4A, GIGYF2",4.711474211805996e-05,Jensen_DISEASES
0.6,2,Autosomal recessive inheritance (HP:0000007),"SLC46A1, SLC25A3, CTDP1, TPMT, PRCD, WISP3, SNX10, IKBKAP, MALT1, LMBR1, HINT1, NLRP7, C10ORF2, SMN1, CPA6, CD96, LHCGR, NDUFA1, HFE2, IGF1, BAAT, MUT, ARHGAP31, GJB3, GPD1, DCHS1, PLCD1",4.98138063106623e-05,Human_Phenotype_Ontology
0.6,1,Intellectual Disability,"RTN2, CEP104, SLC46A1, CTDP1, KCNK9, PRCD, NRXN3, AFF4, GIGYF2, KBTBD13, DPP6, HINT1, SPTLC2, UBTF, CPA6, SPTAN1, CD96, GRID2, UNC13A, BRF1, TGDS, TWNK, UBE2A, IGF1, PDYN, MUT, ARHGAP31, SLC6A9, GJB3, MYH8, DCHS1, HNRNPH2, RAB40AL",0.0007705421489323102,DisGeNET
0.6,1,neuropathy,"CTDP1, GJB3, C10ORF2, GARS",0.0024612034301132353,OMIM_Disease
0.65,1,Autosomal dominant inheritance (HP:0000006),"RTN2, KCNE2, KCNE3, KCNK9, KRT86, GIGYF2, KBTBD13, LMBR1, FGF9, SPTLC2, C10ORF2, NLRP1, TGM6, CPA6, SPTAN1, TRPM4, YARS, KLF11, KCNJ5, NTRK2, LHCGR, CEACAM16, PDYN, MAPK8IP3, CACNB2, ARHGAP31, SCN10A, CYP2A6, SCO2, GJB3, MYH8, AAGAB, NSMF, GARS, ANG, PLCD1, MATN3, DFNA5",4.683800648135338e-16,Human_Phenotype_Ontology
0.65,1,Neurodegenerative disease,"YARS, RTN2, GRID2, IKBKAP, PDYN, TUBA4A, GIGYF2, DPP6, C10ORF2, GARS, ANG, TGM6, SMN1, NEFH",3.3186169026185572e-06,Jensen_DISEASES
0.65,2,Autosomal recessive inheritance (HP:0000007),"SLC46A1, SLC25A3, CTDP1, TPMT, PRCD, WISP3, CASC5, SNX10, IKBKAP, MALT1, LMBR1, HINT1, NLRP7, C10ORF2, SMN1, CPA6, CD96, LHCGR, NDUFA1, HFE2, IGF1, BAAT, MUT, ARHGAP31, SCO2, GJB3, GPD1, DCHS1, PLCD1, MATN3",3.3582238702926564e-05,Human_Phenotype_Ontology
0.65,1,Intellectual Disability,"RTN2, CEP104, SLC46A1, CTDP1, KCNK9, PRCD, NRXN3, CHRDL1, AFF4, GIGYF2, KBTBD13, DPP6, HINT1, SPTLC2, UBTF, TGM6, CPA6, SPTAN1, CD96, GRID2, UNC13A, BRF1, TGDS, TWNK, UBE2A, IGF1, PDYN, MUT, ARHGAP31, SLC6A9, SCO2, GJB3, MYH8, DCHS1, HNRNPH2, RAB40AL, TAF1",0.00045835779176412345,DisGeNET
0.65,3,Abnormal EKG (HP:0003115),"KCNJ5, CACNB2, KCNE2, KCNE3, TRPM4",0.0005608644947089583,Human_Phenotype_Ontology
0.7,1,Autosomal dominant inheritance (HP:0000006),"RTN2, RPL5, KCNE2, KCNE3, KCNK9, PCSK9, KRT86, GIGYF2, KBTBD13, LMBR1, FGF9, SPTLC2, PUF60, C10ORF2, NLRP1, TGM6, CPA6, SPTAN1, TRPM4, CHRNB2, YARS, KLF11, KCNJ5, NTRK2, LHCGR, CEACAM16, ACTN1, ROM1, KIAA0196, PDYN, MAPK8IP3, FAM111B, CACNB2, ARHGAP31, SCN10A, CYP2A6, SCO2, GJB3, MYH8, AAGAB, NSMF, GARS, ANG, TGFBI, PLCD1, MATN3, DFNA5",3.976306492073774e-20,Human_Phenotype_Ontology
0.7,1,Intellectual Disability,"SLC46A1, KCNK9, CHRDL1, AFF4, KBTBD13, HINT1, SPTLC2, UBTF, TGM6, ARID2, SPTAN1, CHRNB2, CD96, GRID2, UNC13A, ROM1, TWNK, VPS33B, PDYN, MUT, SCO2, SPECC1L, MYH8, HNRNPH2, KCNQ5, RTN2, CEP104, CTDP1, RBM8A, PRCD, NRXN3, GIGYF2, DPP6, PUF60, CPA6, MPDU1, BRF1, TGDS, DOLK, UBE2A, IGF1, RAB11B, FAM111B, ARHGAP31, SLC6A9, GJB3, SPRTN, DCHS1, NAA15, RAB40AL, TAF1",2.1611355532398444e-08,DisGeNET
0.7,1,Neurodegenerative disease,"YARS, RTN2, GRID2, KIAA0196, TRIP4, IKBKAP, PDYN, TUBA4A, GIGYF2, DPP6, C10ORF2, GARS, ANG, ADCK3, TGM6, SMN1, NEFH",9.139884666914023e-08,Jensen_DISEASES
0.7,2,Autosomal recessive inheritance (HP:0000007),"SLC46A1, SLC25A3, CTDP1, TPMT, RBM8A, PRCD, WISP3, CASC5, SNX10, IKBKAP, MALT1, LMBR1, HINT1, CYP26B1, NLRP7, C10ORF2, SMN1, CPA6, CD96, LHCGR, SLC10A2, VPS33B, NDUFA1, KIAA0196, HFE2, DOLK, IGF1, BAAT, MUT, ARHGAP31, SCO2, GJB3, GPD1, SPECC1L, DCHS1, ADCK3, PLCD1, MATN3",3.3649394634275086e-07,Human_Phenotype_Ontology
0.7,4,Pediatric failure to thrive,"CD96, RPL5, SLC46A1, SLC25A3, TGDS, SLC10A2, VPS33B, NDUFA1, DOLK, SNX10, IGF1, NLRC4, BAAT, MUT, ROBO1, ARHGAP31, HNRNPH2, NLRP1, MPDU1, GPIHBP1",6.994659094028413e-06,DisGeNET
0.75,1,Autosomal dominant inheritance (HP:0000006),"RPL5, KCNK9, PCSK9, KBTBD13, LMBR1, JPH2, SPTLC2, FGF9, SCN11A, TGM6, JAK2, SPTAN1, CDON, CHRNB2, KLF11, LHCGR, ACTN1, ROM1, APOA1, CEL, PDYN, MAPK8IP3, CACNB2, SCN10A, CYP2A6, MAF, SCO2, COL4A3, MYH8, NSMF, GARS, AAGAB, ANG, MATN3, RTN2, FOXC2, NFIX, KCNE2, KCNE3, CRYBA1, PPM1D, KRT86, GIGYF2, PTHLH, PDE11A, SEPN1, PUF60, C10ORF2, NLRP1, CPA6, TRPM4, ZBTB18, YARS, KCNJ5, NTRK2, MAP3K1, CEACAM16, KIAA0196, CFC1, RAX2, FAM111B, NLRP12, ARHGAP31, PNKD, AGBL1, GJB3, TGFBI, TARDBP, PLCD1, DFNA5",6.024296771276441e-32,Human_Phenotype_Ontology
0.75,1,Intellectual Disability,"COL18A1, SLC46A1, KCNK9, CHRDL1, AFF4, KBTBD13, KIAA1109, HINT1, COL4A3BP, SPTLC2, SCN11A, UBTF, TLK2, HIST1H1E, KMT5B, TGM6, ARID2, SPTAN1, CDON, CHRNB2, CD96, GRID2, UNC13A, ROM1, TWNK, VPS33B, EBF3, PDYN, MUT, MAF, SCO2, COL4A3, SPECC1L, MYH8, HNRNPH2, KCNQ5, PHIP, ZMYND11, RTN2, CAMK2B, FOXC2, CEP104, CTDP1, NFIX, SAMD9, RBM8A, PRCD, NRXN3, CRYBA1, PPM1D, GIGYF2, PTHLH, PORCN, DPP6, PUF60, NACC1, APOE, CPA6, SCN3A, MPDU1, ZBTB18, TRAPPC2, MAP3K1, BRF1, TGDS, CRYBB3, NAGA, TRMT1, DOLK, IGF1, UBE2A, RAB11B, FAM111B, ARHGAP31, PNKD, SLC6A9, NMNAT1, GJB3, SPRTN, DCHS1, NAA15, TARDBP, RAB40AL, TAF1, HCN1",1.7371145800107925e-20,DisGeNET
0.75,2,Autosomal recessive inheritance (HP:0000007),"COL18A1, SLC46A1, SLC25A3, TPMT, WISP3, CASC5, SNX10, TREM2, IKBKAP, LMBR1, HINT1, CYP26B1, CD96, LHCGR, VPS33B, HFE2, BAAT, MUT, SCO2, CLDN14, COL4A3, GPD1, SPECC1L, MATN3, CTDP1, SAMD9, RBM8A, PRCD, LCAT, MALT1, C3, SEPN1, NLRP7, C10ORF2, APOE, SMN1, CPA6, PDZD7, P2RY12, SLC10A2, KIAA0196, CRYBB3, NDUFA1, NAGA, DOLK, HPS6, IGF1, CFC1, MYO1E, ARHGAP31, NMNAT1, GJB3, DCHS1, ADCK3, PLCD1",3.887066076942094e-11,Human_Phenotype_Ontology
0.75,1,Neurodegenerative disease,"YARS, RTN2, GRID2, KIAA0196, TRIP4, IKBKAP, PDYN, GIGYF2, TUBA4A, DPP6, SCN11A, C10ORF2, GARS, ANG, ADCK3, APOE, TGM6, SMN1, TARDBP, NEFH, MORC2",9.988712772298747e-09,Jensen_DISEASES
