,Gene,AUC,FPR,Precision,Recall/TPR,F-score,N_benign,N_malign,m_cat,n_snvs
1,BRCA1,0.9491563860667634,0.0014513788098693414,0.9418206707734429,0.9985486211901307,0.969355406833392,848,1378,1,2226
2,LDLR,0.905924920850294,0.0060606060606061,0.9416267942583733,0.9939393939393939,0.967076167076167,335,990,1,1325
3,MSH2,0.9551282051282051,0.0,0.9292929292929293,1.0,0.9633507853403142,390,460,1,850
4,BRCA2,0.9463052373082171,0.0005694760820045275,0.9310344827586207,0.9994305239179955,0.9640208733864323,1217,1756,1,2973
5,USH2A,0.9447896440129451,0.013333333333333308,0.8314606741573034,0.9866666666666667,0.9024390243902439,309,150,1,459
6,PCDH19,0.9065934065934066,0.0,0.8349514563106796,1.0,0.91005291005291,91,86,1,177
7,MLH1,0.9365976947431164,0.0022371364653244186,0.9253112033195021,0.9977628635346756,0.9601722282023681,289,447,1,736
8,TCF4,0.976,0.0,0.9166666666666666,1.0,0.9565217391304348,125,66,1,191
9,MYBPC3,0.9382347572106609,0.0060606060606061,0.8937329700272479,0.9939393939393939,0.9411764705882352,332,330,1,662
10,COL1A1,0.8848920863309353,0.0,0.8454106280193237,1.0,0.9162303664921466,139,175,1,314
11,MSH6,0.9412470023980815,0.0,0.8762626262626263,1.0,0.9340511440107672,417,347,1,764
12,ATM,0.9598121085594989,0.0,0.8785488958990536,1.0,0.9353484466834593,958,557,1,1515
13,NKX2-5,0.9682539682539683,0.0,0.8,1.0,0.888888888888889,63,16,1,79
14,FOXG1,0.8840579710144927,0.0,0.8024691358024691,1.0,0.8904109589041096,69,65,1,134
15,SDHB,0.9461261261261261,0.026666666666666616,0.9240506329113924,0.9733333333333334,0.948051948051948,74,75,1,149
16,CHEK2,0.9635328539199097,0.00694444444444442,0.9166666666666666,0.9930555555555556,0.9533333333333333,197,144,1,341
17,TP53,0.9290780141843972,0.0,0.8373983739837398,1.0,0.911504424778761,282,206,1,488
18,ARID1B,0.9254385964912281,0.0,0.839622641509434,1.0,0.9128205128205129,114,89,1,203
19,CFTR,0.9632161731398373,0.007633587786259555,0.9774436090225563,0.9923664122137404,0.9848484848484848,91,262,1,353
20,FLCN,0.9404761904761905,0.0,0.8728813559322034,1.0,0.9321266968325792,126,103,1,229
21,SCN1A,0.9339552800642441,0.0034129692832765013,0.8929663608562691,0.9965870307167235,0.9419354838709678,272,293,1,565
22,DDX3X,0.7,0.0,0.9130434782608695,1.0,0.9545454545454545,10,63,1,73
23,ANKRD11,0.8975903614457832,0.0,0.8440366972477065,1.0,0.9154228855721394,83,92,1,175
24,RAD51D,0.9240726910629825,0.02564102564102566,0.7450980392156863,0.9743589743589743,0.8444444444444443,103,39,1,142
25,PALB2,0.9367283950617284,0.0,0.8757575757575757,1.0,0.9337641357027463,324,289,1,613
