gene,default_auc,default_f1,default_recall,default_fpr,default_spec,optimal_c,optimal_auc,optimal_f1,optimal_recall,optimal_fpr,optimal_spec,n_tot,n_benign,n_malign
RDH12,0.8391608391608392,0.8333333333333333,0.9090909090909091,0.09090909090909094,0.9090909090909091,0.02,0.8391608391608392,0.8333333333333333,0.9090909090909091,0.09090909090909094,0.9090909090909091,24,13,11
EIF2AK4,0.9814814814814815,0.9090909090909091,1.0,0.0,1.0,0.02,0.9814814814814815,0.9090909090909091,1.0,0.0,1.0,32,27,5
EIF2AK3,0.9666666666666667,0.8421052631578948,1.0,0.0,1.0,0.02,0.9666666666666667,0.8421052631578948,1.0,0.0,1.0,53,45,8
PRKAG2,0.981203007518797,0.761904761904762,1.0,0.0,1.0,0.02,0.981203007518797,0.761904761904762,1.0,0.0,1.0,282,266,16
JAG1,0.9253877104574397,0.9289940828402367,0.9874213836477987,0.012578616352201255,0.9874213836477987,0.025000000000000005,0.937810070705887,0.9401197604790419,0.9874213836477987,0.012578616352201255,0.9874213836477987,320,161,159
PAFAH1B1,0.9454407678706744,0.9719626168224299,0.9719626168224299,0.028037383177570097,0.9719626168224299,0.02,0.9454407678706744,0.9719626168224299,0.9719626168224299,0.028037383177570097,0.9719626168224299,144,37,107
FAM111B,0.6616666666666666,0.4,0.3333333333333333,0.6666666666666667,0.33333333333333326,0.015999999999999997,0.8283333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.33333333333333326,103,100,3
UROD,0.9583333333333333,0.9090909090909091,1.0,0.0,1.0,0.02,0.9583333333333333,0.9090909090909091,1.0,0.0,1.0,17,12,5
LARP7,0.8333333333333334,0.787878787878788,1.0,0.0,1.0,0.025000000000000005,0.8809523809523809,0.8387096774193548,1.0,0.0,1.0,34,21,13
STRC,0.9057539682539683,0.875,0.875,0.125,0.875,0.02,0.9057539682539683,0.875,0.875,0.125,0.875,95,63,32
PTEN,0.9293478260869565,0.9521472392638036,1.0,0.0,1.0,0.023000000000000003,0.9329710144927535,0.9544895448954489,1.0,0.0,1.0,664,276,388
SKI,0.9359351988217968,0.6842105263157894,0.9285714285714286,0.0714285714285714,0.9285714285714286,0.025000000000000005,0.9436671575846834,0.742857142857143,0.9285714285714286,0.0714285714285714,0.9285714285714286,208,194,14
KCNH2,0.9035726370711581,0.9181286549707601,0.9905362776025236,0.009463722397476393,0.9905362776025236,0.025000000000000005,0.9122231561023,0.9248895434462445,0.9905362776025236,0.009463722397476393,0.9905362776025236,606,289,317
KMT2A,0.8713103448275862,0.891304347826087,0.984,0.016000000000000014,0.984,0.02,0.8713103448275862,0.891304347826087,0.984,0.016000000000000014,0.984,241,116,125
MBD5,0.9503311258278146,0.7368421052631579,1.0,0.0,1.0,0.026000000000000006,0.9668874172185431,0.8076923076923077,1.0,0.0,1.0,172,151,21
MYBPC3,0.9285674283154122,0.9273229070837167,0.984375,0.015625,0.984375,0.03100000000000001,0.9392396113351255,0.9375582479030755,0.982421875,0.017578125,0.982421875,1070,558,512
BLM,0.9706742346061232,0.9496402877697842,0.9705882352941176,0.02941176470588236,0.9705882352941176,0.02,0.9706742346061232,0.9496402877697842,0.9705882352941176,0.02941176470588236,0.9705882352941176,239,171,68
SNX14,0.9666666666666667,0.9565217391304348,1.0,0.0,1.0,0.024000000000000004,1.0,1.0,1.0,0.0,1.0,26,15,11
MSH2,0.9517096314768951,0.9675236806495264,0.9958217270194986,0.004178272980501441,0.9958217270194986,0.026000000000000006,0.960949877883466,0.9734513274336283,0.9958217270194986,0.004178272980501441,0.9958217270194986,1205,487,718
