,chr,start,stop,gene
0,1,69041,70059,OR4F5
0,1,138480,139360,AL627309.1
0,1,367609,368648,OR4F3
0,1,367609,368648,OR4F16
0,1,367609,368648,OR4F29
0,1,621046,622085,OR4F3
0,1,621046,622085,OR4F16
0,1,621046,622085,OR4F29
0,1,738482,739188,AL669831.1
0,1,817993,820034,AL645608.2
0,1,861214,861457,AL645608.1
0,1,861214,861457,SAMD11
0,1,863205,865770,AL645608.1
0,1,865485,865770,SAMD11
0,1,865940,866520,AL645608.1
0,1,866369,879584,SAMD11
0,1,880024,894671,NOC2L
0,1,896024,900622,KLHL17
0,1,901862,910006,PLEKHN1
0,1,911502,911700,PERM1
0,1,911502,911700,C1orf170
0,1,911829,912055,PERM1
0,1,911829,912055,C1orf170
0,1,914211,916460,PERM1
0,1,914211,916460,C1orf170
0,1,916467,916604,PERM1
0,1,916467,916604,C1orf170
0,1,917395,917548,PERM1
0,1,917395,917548,C1orf170
0,1,934389,935404,HES4
0,1,948904,949909,ISG15
0,1,955503,990412,AGRN
0,1,1007147,1007997,RNF223
0,1,1018223,1026974,C1orf159
0,1,1114546,1133278,TTLL10
0,1,1138921,1142002,TNFRSF18
0,1,1146885,1149558,TNFRSF4
0,1,1152842,1164224,SDF4
0,1,1167609,1168699,B3GALT6
0,1,1177878,1182121,FAM132A
0,1,1190533,1203423,UBE2J2
0,1,1215992,1227041,SCNN1D
0,1,1228894,1243246,ACAP3
0,1,1243974,1246810,PUSL1
0,1,1247189,1260044,CPSF3L
0,1,1262241,1263194,GLTPD1
0,1,1266676,1269895,TAS1R3
0,1,1271472,1284496,DVL1
0,1,1288631,1296694,MXRA8
0,1,1309131,1310187,AURKAIP1
0,1,1322561,1334737,CCNL2
0,1,1334882,1336165,RP4-758J18.2
0,1,1337413,1342648,MRPL20
0,1,1354430,1356436,ANKRD65
0,1,1361458,1363218,TMEM88B
0,1,1371079,1375218,VWA1
0,1,1386014,1403961,ATAD3C
0,1,1407215,1431248,ATAD3B
0,1,1447599,1469503,ATAD3A
0,1,1470689,1475777,TMEM240
0,1,1477396,1509988,SSU72
0,1,1510307,1510710,AL645728.1
0,1,1534665,1535446,C1orf233
0,1,1550790,1565961,MIB2
0,1,1567548,1570052,MMP23B
0,1,1571076,1588986,CDK11B
0,1,1597171,1608189,SLC35E2B
0,1,1634296,1643917,CDK11A
0,1,1643653,1643917,CDK11B
0,1,1647735,1647968,CDK11A
0,1,1647735,1647968,CDK11B
0,1,1650717,1650945,CDK11A
0,1,1650717,1650945,CDK11B
0,1,1652985,1653201,CDK11A
0,1,1652985,1653201,CDK11B
0,1,1653977,1654086,CDK11A
0,1,1653977,1654086,CDK11B
0,1,1654097,1654308,CDK11A
0,1,1654097,1654308,CDK11B
0,1,1656803,1671047,SLC35E2
