AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,Autosomal dominant inheritance (HP:0000006),"YARS, RTN2, KCNJ5, NTRK2, CEACAM16, KCNK9, MAPK8IP3, GIGYF2, KBTBD13, CACNB2, LMBR1, ARHGAP31, SPTLC2, FGF9, GJB3, MYH8, C10ORF2, NSMF, ANG, SPTAN1, TRPM4",3.156382710204921e-12,Human_Phenotype_Ontology
0.5,1,Intellectual Disability,"RTN2, CD96, SLC46A1, UNC13A, CTDP1, KCNK9, TGDS, TWNK, NRXN3, IGF1, AFF4, GIGYF2, KBTBD13, ARHGAP31, DPP6, SPTLC2, GJB3, MYH8, DCHS1, SPTAN1",0.00043706320904962956,DisGeNET
0.5,2,Short stature,"CD96, DPP6, CTDP1, TGDS, GJB3, GPD1, MYH8, NRXN3, WISP3, IGF1, AFF4",0.0018080198831246371,DisGeNET
0.5,1,Neurodegenerative disease,"YARS, RTN2, DPP6, C10ORF2, ANG, TUBA4A, GIGYF2",0.005007897586012479,Jensen_DISEASES
0.5,1,neuropathy,"CTDP1, GJB3, C10ORF2",0.005197129336245182,OMIM_Disease
0.5,2,Syncope (HP:0001279),"KCNJ5, CACNB2, TRPM4",0.010659013105832369,Human_Phenotype_Ontology
0.5,3,Cutaneous syndactyly (HP:0012725),"LMBR1, MYH8, DCHS1",0.010765461701708957,Human_Phenotype_Ontology
0.5,5,Abnormal EKG (HP:0003115),"KCNJ5, CACNB2, TRPM4",0.01419544250594539,Human_Phenotype_Ontology
0.5,4,Hypogonadotrophic hypogonadism (HP:0000044),"CTDP1, HFE2, NSMF",0.016051137940578428,Human_Phenotype_Ontology
0.5,6,Sacral dimple (HP:0000960),"CD96, KCNK9, DCHS1",0.036569212281173435,Human_Phenotype_Ontology
0.5,9,Infantile onset (HP:0003593),"SLC46A1, CTDP1, GJB3, GPD1, SPTAN1",0.04074637353528824,Human_Phenotype_Ontology
0.5,7,Talipes equinovarus (HP:0001762),"ARHGAP31, CTDP1, MYH8, DCHS1",0.04263398422969224,Human_Phenotype_Ontology
0.5,8,Autosomal recessive inheritance (HP:0000007),"CD96, LMBR1, ARHGAP31, SLC46A1, CTDP1, GJB3, GPD1, WISP3, C10ORF2, HFE2, DCHS1, IGF1",0.04356716715513905,Human_Phenotype_Ontology
0.5,8,Congenital clinodactyly,"CD96, NSMF, DCHS1, IGF1",0.048642878576386085,DisGeNET
0.5,7,Poor school performance,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.04887756859664976,DisGeNET
0.5,5,Dull intelligence,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.048878917785462994,DisGeNET
0.5,10,Anxiety,"NTRK2, UNC13A, FGF9, NSMF, ANG, IGF1, ESR2",0.05315145297793018,DisGeNET
0.5,9,Mental deficiency,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.05645083812815248,DisGeNET
0.5,6,Curvature of digit,"CD96, NSMF, DCHS1, IGF1",0.056672467365278215,DisGeNET
0.5,11,Congenital clubfoot,"ARHGAP31, CTDP1, TGDS, MYH8, DCHS1",0.05727766369562935,DisGeNET
0.5,14,Talipes,"CD96, LMBR1, ARHGAP31",0.060737038817855374,DisGeNET
0.5,4,Low intelligence,"CD96, ARHGAP31, SLC46A1, DPP6, CTDP1, KCNK9, TWNK, DCHS1, IGF1, AFF4",0.061098647231828736,DisGeNET
0.5,11,Absent hand (HP:0004050),"LMBR1, ARHGAP31",0.0653685006962088,Human_Phenotype_Ontology
0.5,13,Syncope,"KCNJ5, CACNB2, TRPM4",0.06540911872692118,DisGeNET
0.5,10,Narrow forehead (HP:0000341),"CD96, KCNK9, DCHS1",0.06554982945910208,Human_Phenotype_Ontology
0.5,12,Talipes foot deformities,"CD96, LMBR1, ARHGAP31",0.06564360745743532,DisGeNET
0.5,29,Symphalangism affecting the phalanges of the hand,"FGF9, MYH8",0.06810738305727257,DisGeNET
0.5,12,Symphalangism affecting the phalanges of the hand (HP:0009773),"FGF9, MYH8",0.06904548260539332,Human_Phenotype_Ontology
0.5,27,Aplasia/Hypoplasia of the mandible,"CD96, CTDP1, TGDS, MYH8, DCHS1, IGF1",0.07023275027662358,DisGeNET
0.5,28,Micrognathism,"CD96, CTDP1, TGDS, MYH8, DCHS1, IGF1",0.07053620515778121,DisGeNET
0.5,26,Decreased projection of mandible,"CD96, CTDP1, TGDS, MYH8, DCHS1, IGF1",0.07096900302901107,DisGeNET
0.5,22,Carcinoma in situ of prostate,"IGF1, ESR2",0.0719204112737709,DisGeNET
0.5,25,Decreased projection of lower jaw,"CD96, CTDP1, TGDS, MYH8, DCHS1, IGF1",0.07380776315017151,DisGeNET
0.5,21,Absent toe,"ARHGAP31, LMBR1",0.07534519276299807,DisGeNET
0.5,17,Ptosis (HP:0000508),"MYH8, C10ORF2, NSMF, DCHS1, IGF1",0.07959195673273697,Human_Phenotype_Ontology
0.5,15,Prolonged QT interval (HP:0001657),"KCNJ5, TRPM4",0.0801585514131934,Human_Phenotype_Ontology
0.5,13,Athetosis (HP:0002305),"SLC46A1, C10ORF2",0.08232613058543266,Human_Phenotype_Ontology
0.5,18,Bradycardia (HP:0001662),"C10ORF2, TRPM4",0.0827267637029765,Human_Phenotype_Ontology
0.5,16,Abnormal atrioventricular conduction (HP:0005150),"KCNJ5, TRPM4",0.08387516980887412,Human_Phenotype_Ontology
0.5,14,Heart block (HP:0012722),"KCNJ5, TRPM4",0.0858841622284215,Human_Phenotype_Ontology
0.5,19,Cutaneous finger syndactyly (HP:0010554),"LMBR1, DCHS1",0.08650442982813755,Human_Phenotype_Ontology
0.5,20,Hypergonadotropic hypogonadism (HP:0000815),"CTDP1, C10ORF2",0.09873674366293693,Human_Phenotype_Ontology
0.5,2,Amyotrophic lateral sclerosis,"DPP6, UNC13A, NRXN3",0.11168101760742848,Jensen_DISEASES
0.5,3,Aldosterone synthesis and secretion,"KCNJ5, SCARB1, KCNK9",0.12538662263575345,KEGG_2019_Human
0.5,1,MAPK signaling pathway,"NTRK2, CACNB2, FGF9, IGF1, MAPK8IP3",0.12643621645344325,KEGG_2019_Human
0.5,2,Vitamin digestion and absorption,"SCARB1, SLC46A1",0.1862301692962232,KEGG_2019_Human
0.5,4,Tinnitus,"CACNB2, TRPC6",0.21895238257021446,PheWeb_2019
0.5,3,Viral hepatitis,"NTRK2, IGF1",0.23281774197600436,PheWeb_2019
0.5,8,"Macular degeneration, wet","NTRK2, GFM2",0.23904881167190697,PheWeb_2019
0.5,2,AV node cell action potential (GO:0086016),"CACNB2, TRPM4",0.24027424318014895,GO_Biological_Process_2018
0.5,5,import across plasma membrane (GO:0098739),"KCNJ5, SLC46A1",0.2503456798039437,GO_Biological_Process_2018
0.5,4,insulin-like growth factor receptor signaling pathway (GO:0048009),"IGF1, GIGYF2",0.2563850044896367,GO_Biological_Process_2018
0.5,5,Benign neoplasm of breast,"NTRK2, SCARB1",0.257747856981832,PheWeb_2019
0.5,4,Synostosis,"CD96, FGF9",0.2723726942626252,Jensen_DISEASES
0.5,7,Other acquired deformities of limbs,"NTRK2, DPP6",0.2731986419107509,PheWeb_2019
0.5,3,vitamin transmembrane transport (GO:0035461),"SCARB1, SLC46A1",0.2738507967732045,GO_Biological_Process_2018
0.5,6,Otitis externa,"NTRK2, TGDS",0.2747897865163125,PheWeb_2019
0.5,6,Neuropathy,"YARS, SPTLC2, C10ORF2",0.2789628218096925,Jensen_DISEASES
0.5,3,Brugada syndrome,"CACNB2, TRPM4",0.2811497897658624,Jensen_DISEASES
0.5,1,"Pain, swelling or discharge of eye","DPP6, CTDP1",0.2847847680309412,PheWeb_2019
0.5,7,positive regulation of vascular smooth muscle cell proliferation (GO:1904707),"FGF9, IGF1",0.2946543041500272,GO_Biological_Process_2018
0.5,1,regulation of heart rate by cardiac conduction (GO:0086091),"KCNJ5, CACNB2, TRPM4",0.2946772333651018,GO_Biological_Process_2018
0.5,6,atrial cardiac muscle cell action potential (GO:0086014),"KCNJ5, CACNB2",0.2950566623538852,GO_Biological_Process_2018
0.5,8,Peripheral neuropathy,"SPTLC2, GJB3",0.2971515017568457,Jensen_DISEASES
0.5,4,Breast cancer,"FGF9, IGF1, ESR2",0.2981093211330034,KEGG_2019_Human
0.5,5,Conn's syndrome,"KCNJ5, KCNK9",0.3031733606733702,Jensen_DISEASES
0.5,5,Ovarian steroidogenesis,"SCARB1, IGF1",0.3067819382741731,KEGG_2019_Human
0.5,2,Proteins Involved in Diabetic Neuropathy,"NTRK2, UNC13A, IGF1",0.31706367762539256,Elsevier_Pathway_Collection
0.5,1,neuropathy,"CTDP1, GJB3, C10ORF2",0.3351650714098051,OMIM_Expanded
0.5,7,Hyperaldosteronism,"KCNJ5, KCNK9",0.3396017162935379,Jensen_DISEASES
0.5,3,Vascularization in Hepatocellular Carcinoma,"ANG, IGF1",0.3451157053752829,Elsevier_Pathway_Collection
0.5,2,Acne,"ARHGAP31, NRXN3",0.3492266129640065,PheWeb_2019
0.5,1,Proteins Involved in Arterial Hypertension,"KCNJ5, TRPC6, IGF1, ESR2, TRPM4",0.3612843624471669,Elsevier_Pathway_Collection
0.5,8,membrane depolarization during cardiac muscle cell action potential (GO:0086012),"CACNB2, TRPM4",0.38374319680347213,GO_Biological_Process_2018
0.5,10,Acquired toe deformities,"NTRK2, IGF1",0.4075789638251262,PheWeb_2019
0.5,9,Acute pharyngitis,"NRXN3, MAPK8IP3",0.4313609671539128,PheWeb_2019
0.5,9,neuromuscular junction development (GO:0007528),"CACNB2, UNC13A",0.4745977236383239,GO_Biological_Process_2018
0.5,13,Intellectual disability,"DPP6, KCNK9, DCHS1, SPTAN1",0.5133362955498526,Jensen_DISEASES
0.5,6,nemaline myopathy,KBTBD13,0.5179098636969127,ClinVar_2019
0.5,4,CHRM1/2/3/5 -> Ion Channels,"KCNJ5, KCNK9",0.5202956515564936,Elsevier_Pathway_Collection
0.5,12,Skin disease,"GJB3, IGF1",0.5298058451674588,Jensen_DISEASES
0.5,7,Proteins Involved in Endometriosis,"SCARB1, FGF9, IGF1, ESR2",0.5375691977175533,Elsevier_Pathway_Collection
0.5,6,Melanoma,"FGF9, IGF1",0.5385786474137163,KEGG_2019_Human
0.5,14,Distal arthrogryposis,"GFM2, MYH8",0.545291470002744,Jensen_DISEASES
0.5,9,Motor neuron disease,"DPP6, UNC13A",0.5464333028058723,Jensen_DISEASES
0.5,8,Hypertrophic cardiomyopathy (HCM),"CACNB2, IGF1",0.5543402245566791,KEGG_2019_Human
0.5,11,Hypertension,"KCNJ5, TRPC6, ANG, IGF1",0.5570196099927284,Jensen_DISEASES
0.5,9,Dilated cardiomyopathy (DCM),"CACNB2, IGF1",0.5606443651378281,KEGG_2019_Human
0.5,10,vitamin transport (GO:0051180),"SCARB1, SLC46A1",0.5664458717391424,GO_Biological_Process_2018
0.5,2,BDNF-TrkB Signaling WP3676,"NTRK2, TRPC6",0.5722397987875586,WikiPathways_2019_Human
0.5,10,Pancreatic cancer,"DPP6, NRXN3, DCHS1",0.5752023203659751,Jensen_DISEASES
0.5,6,Aldosterone Synthesis Chronic Regulation,"KCNJ5, CACNB2",0.5788421098962887,Elsevier_Pathway_Collection
0.5,10,Proteins Involved in Glioma,"TRPC6, ANG, IGF1, ESR2",0.5895014511324123,Elsevier_Pathway_Collection
0.5,7,Ras signaling pathway,"NTRK2, FGF9, IGF1",0.5948089912421464,KEGG_2019_Human
