AUC,Rank,Term_Name,Overlapping_Genes,Adjusted_P-value,Source
0.5,1,chr14,"SPTLC2, NRXN3, ANG, ESR2",1.0,Chromosome_Location_hg19
0.5,2,chr13,"FGF9, TGDS",1.0,Chromosome_Location_hg19
0.5,3,chr9,"NTRK2, NSMF, SPTAN1",1.0,Chromosome_Location_hg19
0.5,4,chr19,"RTN2, CEACAM16, UNC13A, TRPM4",1.0,Chromosome_Location_hg19
0.5,6,chr18,CTDP1,1.0,Chromosome_Location_hg19
0.5,5,chr12,"SCARB1, GPD1, IGF1",1.0,Chromosome_Location_hg19
0.5,7,chr17,"SLC46A1, MYH8, SOX9-AS1",1.0,Chromosome_Location_hg19
0.5,8,chr10,"CACNB2, TWNK",1.0,Chromosome_Location_hg19
0.5,9,chr11,"KCNJ5, TRPC6, DCHS1",1.0,Chromosome_Location_hg19
0.5,10,chr5,"GFM2, AFF4",1.0,Chromosome_Location_hg19
0.5,11,chr7,"LMBR1, DPP6",1.0,Chromosome_Location_hg19
0.5,12,chr3,"CD96, ARHGAP31",1.0,Chromosome_Location_hg19
0.5,13,chr15,KBTBD13,1.0,Chromosome_Location_hg19
0.5,15,chr2,"TUBA4A, GIGYF2",1.0,Chromosome_Location_hg19
0.5,14,chr8,KCNK9,1.0,Chromosome_Location_hg19
0.5,16,chr16,MAPK8IP3,1.0,Chromosome_Location_hg19
0.5,17,chr1,"YARS, GJB3, HFE2",1.0,Chromosome_Location_hg19
0.55,1,chr14,"BRF1, SPTLC2, NRXN3, ANG, ESR2",1.0,Chromosome_Location_hg19
0.55,2,chr19,"RTN2, LIPE, CYP2A6, UNC13A, CEACAM16, NLRP7, KIR3DL1, WTIP, TRPM4",1.0,Chromosome_Location_hg19
0.55,3,chrX,"OPN1MW, NDUFA1, HNRNPH2, UBE2A, RAB40AL, CT47B1",1.0,Chromosome_Location_hg19
0.55,4,chr12,"SCARB1, SLC25A3, GPD1, IRAK3, IGF1, KRT86, DUSP6",1.0,Chromosome_Location_hg19
0.55,5,chr18,"CTDP1, MALT1",1.0,Chromosome_Location_hg19
0.55,6,chr5,"HINT1, GFM2, ZFR, SMN1, AFF4",1.0,Chromosome_Location_hg19
0.55,7,chr17,"SLC46A1, SLFN14, PRCD, MYH8, NLRP1, SOX9-AS1",1.0,Chromosome_Location_hg19
0.55,8,chr10,"CACNB2, ZRANB1, TWNK, SFTPA1",1.0,Chromosome_Location_hg19
0.55,9,chr9,"NTRK2, NSMF, BAAT, SPTAN1",1.0,Chromosome_Location_hg19
0.55,10,chr13,"FGF9, TGDS",1.0,Chromosome_Location_hg19
0.55,11,chr7,"LMBR1, DPP6, IQCE, SNX10",1.0,Chromosome_Location_hg19
0.55,12,chr4,"GRID2, ALPK1, TLR3",1.0,Chromosome_Location_hg19
0.55,13,chr11,"LIPT2, KCNJ5, TRPC6, KCNE3, DCHS1",1.0,Chromosome_Location_hg19
0.55,14,chr6,"CDKN1A, TPMT, WISP3, TBX18",1.0,Chromosome_Location_hg19
0.55,15,chr3,"CD96, ARHGAP31, PLCD1, ROBO1",1.0,Chromosome_Location_hg19
0.55,16,chr15,"KBTBD13, SORD",1.0,Chromosome_Location_hg19
0.55,18,chr8,"KCNK9, CPA6",1.0,Chromosome_Location_hg19
0.55,17,chr22,APOL1,1.0,Chromosome_Location_hg19
0.55,19,chr16,"MRPS34, MAPK8IP3",1.0,Chromosome_Location_hg19
0.55,20,chr20,PDYN,1.0,Chromosome_Location_hg19
0.6,1,chrX,"OPN1MW, OPN1LW, NDUFA1, HNRNPH2, UBE2A, RAB40AL, CT47B1",1.0,Chromosome_Location_hg19
0.6,2,chr14,"BRF1, SPTLC2, NRXN3, ANG, ESR2",1.0,Chromosome_Location_hg19
0.6,3,chr12,"SCARB1, SLC25A3, GPD1, IRAK3, IGF1, KRT86, DUSP6",1.0,Chromosome_Location_hg19
0.6,4,chr19,"RTN2, LIPE, CYP2A6, UNC13A, CEACAM16, NLRP7, KIR3DL1, WTIP, TRPM4",1.0,Chromosome_Location_hg19
0.6,5,chr18,"CTDP1, MALT1",1.0,Chromosome_Location_hg19
